Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store : 43571
Saved path: bank, craft_shop, dentist, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, hardware_store, gym : 32953
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gym, burger_joint, bookstore, dentist : 48347
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, dentist, burger_joint, gym, craft_shop, bank, florist, pharmacy, party_store, bakery, pet_store, bike_shop : 48943
Saved path: pharmacy, gelateria, florist, pizzeria, gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, jewelry_store, salon, bakery, pet_store, party_store : 42222
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist : 37202
Saved path: florist, bank, craft_shop, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria, music_store : 42569
Saved path: tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, toy_store, noodle_house : 40452
Saved path: music_store, gelateria, bank, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bakery, pet_store, bike_shop : 50270
Saved path: cafe, bookstore, bank, florist, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist : 48321
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, florist, gelateria, pharmacy, bakery, pet_store : 44003
Saved path: hardware_store, gym, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, bank, music_store, party_store, salon, bike_shop, pet_store, bakery : 48210
Saved path: florist, bank, hardware_store, pet_store, bakery, salon, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, bookstore, pizzeria : 41017
Saved path: bike_shop, party_store, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, grocery_store, tech_shop, noodle_house, toy_store, bakery, pet_store : 44501
Saved path: pharmacy, gelateria, music_store, craft_shop, gym, pizzeria, bookstore, burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, party_store : 35593
Saved path: gelateria, pharmacy, party_store, salon, jewelry_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store : 39667
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, pizzeria, bank, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery : 44675
Saved path: music_store, gelateria, pharmacy, bike_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, florist : 32930
Saved path: jewelry_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, bank, dentist, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 42270
Saved path: jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, hardware_store : 49081
Saved path: tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, gelateria, florist, bank, craft_shop, pizzeria, grocery_store : 39540
Saved path: jewelry_store, salon, bike_shop, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store : 42215
Saved path: gym, pizzeria, bank, craft_shop, dentist, cafe, grocery_store, toy_store, tech_shop, burger_joint, pet_store, bakery, jewelry_store, party_store, hardware_store : 44892
Saved path: clothing_store, toy_store, gym, hardware_store, pet_store, salon, jewelry_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop : 50504
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, gelateria, florist, gym, pizzeria, craft_shop, dentist, cafe, clothing_store : 49304
Saved path: cafe, burger_joint, gym, pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, dentist : 42657
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy, salon : 34892
Saved path: salon, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, pizzeria, gym, hardware_store, toy_store, barber_shop, bakery : 42439
Saved path: pizzeria, florist, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym : 36121
Saved path: bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop : 34474
Saved path: music_store, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 36977
Saved path: toy_store, noodle_house, tech_shop, bookstore, dentist, craft_shop, pizzeria, florist, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store : 46544
Saved path: bike_shop, bakery, party_store, gelateria, florist, bank, gym, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon : 35791
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, hardware_store, gym : 38840
Saved path: music_store, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, pet_store, bakery, salon, party_store : 42287
Saved path: pizzeria, florist, music_store, pharmacy, salon, bakery, pet_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore : 45368
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store, florist, pizzeria, dentist, cafe, clothing_store : 42518
Saved path: florist, bank, craft_shop, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, bakery, salon, jewelry_store, party_store, pharmacy, music_store : 31509
Saved path: cafe, burger_joint, gym, bank, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 38215
Saved path: salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, bookstore, gym, craft_shop, bank, florist, music_store, gelateria, bakery, pet_store : 47399
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, bank, florist, pharmacy, party_store, salon, bakery, barber_shop, hardware_store, gym, toy_store : 38107
Saved path: jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 38570
Saved path: dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop : 33382
Saved path: bakery, barber_shop, hardware_store, gym, toy_store, burger_joint, bookstore, dentist, craft_shop, bank, florist, pharmacy, party_store, salon, bike_shop : 41394
Saved path: pet_store, bike_shop, salon, pharmacy, craft_shop, pizzeria, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery : 43855
Saved path: tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, salon, pet_store, bakery, gym, toy_store : 47382
Saved path: bakery, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, bank, music_store, pharmacy, party_store : 36098
Saved path: toy_store, tech_shop, burger_joint, cafe, dentist, craft_shop, bank, florist, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, gym : 44635
