Saved path: toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 46759
Saved path: toy_store, clothing_store, cafe, dentist, pizzeria, bank, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, burger_joint, tech_shop, noodle_house : 46061
Saved path: music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, craft_shop, florist : 42985
Saved path: music_store, gelateria, pharmacy, bike_shop, bakery, hardware_store, gym, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, florist : 40414
Saved path: music_store, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, grocery_store, burger_joint, hardware_store, gym, craft_shop, bank, gelateria : 36246
Saved path: clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, gym, pizzeria, bookstore, cafe, burger_joint, tech_shop : 37696
Saved path: grocery_store, bookstore, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 37780
Saved path: florist, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, noodle_house, clothing_store, cafe, gym, craft_shop, bank : 43687
Saved path: pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, bank : 46468
Saved path: jewelry_store, bakery, party_store, pharmacy, music_store, florist, bank, gym, hardware_store, burger_joint, dentist, grocery_store, clothing_store, toy_store, barber_shop : 39962
Saved path: gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, dentist, cafe, bookstore, bank, florist : 46956
Saved path: gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, party_store, bakery, jewelry_store, hardware_store : 40310
Saved path: party_store, music_store, florist, bank, pizzeria, gym, dentist, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 50496
Saved path: gym, noodle_house, clothing_store, grocery_store, cafe, dentist, florist, music_store, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store : 49198
Saved path: craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, party_store, pharmacy, gelateria, music_store : 30668
Saved path: pharmacy, gelateria, music_store, florist, bank, craft_shop, cafe, grocery_store, noodle_house, toy_store, hardware_store, salon, pet_store, bakery, barber_shop : 46548
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store : 48022
Saved path: cafe, bookstore, noodle_house, toy_store, hardware_store, pet_store, bakery, barber_shop, party_store, music_store, florist, bank, craft_shop, dentist, grocery_store : 50581
Saved path: gelateria, pharmacy, salon, bike_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store : 39470
Saved path: pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, florist : 44969
Saved path: toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 47715
Saved path: grocery_store, clothing_store, toy_store, hardware_store, pet_store, bakery, barber_shop, gelateria, music_store, florist, bank, craft_shop, dentist, cafe, bookstore : 50596
Saved path: toy_store, gym, bike_shop, bakery, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house : 39313
Saved path: salon, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist, pharmacy, party_store : 32129
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, pharmacy, salon, pet_store, bakery, burger_joint, tech_shop, noodle_house, toy_store : 44557
Saved path: toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, cafe, burger_joint, tech_shop, clothing_store : 46176
Saved path: bookstore, burger_joint, tech_shop, noodle_house, toy_store, pet_store, bakery, party_store, music_store, gelateria, bank, craft_shop, dentist, grocery_store, cafe : 45492
Saved path: barber_shop, toy_store, tech_shop, cafe, bookstore, pizzeria, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 42476
Saved path: party_store, gelateria, bank, craft_shop, gym, bookstore, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46207
Saved path: toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store : 41488
Saved path: noodle_house, tech_shop, bookstore, cafe, dentist, bank, music_store, party_store, jewelry_store, salon, bike_shop, pet_store, bakery, gym, toy_store : 49301
Saved path: toy_store, clothing_store, grocery_store, dentist, pizzeria, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store : 38559
Saved path: bakery, salon, jewelry_store, gelateria, florist, pizzeria, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store : 47551
Saved path: clothing_store, grocery_store, dentist, craft_shop, florist, music_store, pharmacy, jewelry_store, salon, bakery, gym, burger_joint, bookstore, noodle_house, toy_store : 39641
Saved path: burger_joint, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, noodle_house : 46587
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop : 48189
Saved path: florist, music_store, gelateria, party_store, salon, bakery, pet_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, pizzeria : 42030
Saved path: pizzeria, bookstore, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist : 47989
Saved path: barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, dentist, bank, pharmacy, salon, bike_shop, pet_store, bakery : 50504
Saved path: gym, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store : 35938
Saved path: salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, cafe, dentist, bank, florist, pizzeria, gym, hardware_store, party_store : 48948
Saved path: music_store, florist, bank, craft_shop, pizzeria, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon : 40742
Saved path: cafe, bookstore, bank, gelateria, music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store : 46638
Saved path: dentist, cafe, bookstore, burger_joint, gym, toy_store, barber_shop, bakery, salon, party_store, gelateria, florist, bank, pizzeria, craft_shop : 38942
Saved path: gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, salon, pet_store, hardware_store : 47314
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, dentist, craft_shop, bank, gelateria, party_store, pet_store, bakery : 47020
Saved path: gym, toy_store, noodle_house, burger_joint, bookstore, grocery_store, dentist, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store : 50515
Saved path: party_store, salon, bike_shop, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store : 39269
Saved path: party_store, pharmacy, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery : 47318
Saved path: clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, gelateria, florist, pizzeria, grocery_store : 45548
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist : 47158
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery : 46789
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, craft_shop, bookstore, grocery_store, clothing_store : 40715
Saved path: pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, bank, music_store : 38139
Saved path: cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop : 44984
Saved path: pizzeria, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop : 50979
Saved path: bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, music_store, bank, pizzeria, craft_shop, dentist : 42898
Saved path: pharmacy, gelateria, florist, bank, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 40280
Saved path: pet_store, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, gym, burger_joint, cafe, tech_shop, toy_store, barber_shop : 44776
Saved path: pharmacy, party_store, bike_shop, jewelry_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store : 37464
Saved path: bookstore, cafe, clothing_store, noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, pizzeria : 38279
Saved path: barber_shop, jewelry_store, salon, pet_store, bakery, gym, florist, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store : 37718
Saved path: salon, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, pizzeria, gym, craft_shop, florist, music_store, pharmacy, bakery, pet_store : 46305
