Saved path: pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop : 38880
Saved path: salon, bike_shop, bakery, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store : 38323
Saved path: music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery, jewelry_store, barber_shop : 50969
Saved path: craft_shop, pizzeria, gelateria, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, grocery_store, dentist : 41261
Saved path: hardware_store, salon, pet_store, gelateria, music_store, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym : 43682
Saved path: florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, gelateria : 40247
Saved path: bakery, salon, party_store, gelateria, florist, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, pet_store : 44383
Saved path: music_store, gelateria, bakery, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank : 40938
Saved path: noodle_house, toy_store, gym, bike_shop, pet_store, bakery, jewelry_store, party_store, music_store, florist, pizzeria, dentist, cafe, grocery_store, tech_shop : 50167
Saved path: bike_shop, bakery, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon : 33699
Saved path: gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, pharmacy : 36894
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, bookstore, florist, gelateria, music_store, salon, bike_shop : 47957
Saved path: burger_joint, bakery, pet_store, bike_shop, salon, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop : 47109
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, grocery_store, cafe, bookstore : 33381
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, music_store, party_store, jewelry_store, salon, bakery, pet_store : 42571
Saved path: tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, gelateria, music_store, pizzeria, bookstore, cafe, dentist, burger_joint : 50852
Saved path: salon, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, gym, craft_shop, bank, gelateria, bakery, pet_store, bike_shop : 46712
