Saved path: bookstore, pizzeria, florist, pharmacy, party_store, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe : 36015
Saved path: cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, music_store, florist, bank, craft_shop, gym, hardware_store : 37744
Saved path: gelateria, pharmacy, barber_shop, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, bank, florist : 37580
Saved path: gym, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, salon, bakery, party_store, gelateria, florist, craft_shop, pizzeria : 33275
Saved path: toy_store, noodle_house, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, party_store, pet_store, bike_shop, jewelry_store, hardware_store : 43500
Saved path: toy_store, tech_shop, cafe, burger_joint, gym, pizzeria, bank, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop : 45614
Saved path: gelateria, pharmacy, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist : 40311
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, dentist, gym, pizzeria, bank, florist, pharmacy, pet_store : 47267
Saved path: clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, gelateria, pharmacy, party_store, hardware_store, burger_joint, bookstore, cafe, dentist : 52062
Saved path: hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, florist, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop : 42072
Saved path: gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, burger_joint, pet_store, bakery, jewelry_store, party_store, gelateria, florist, craft_shop : 43244
Saved path: jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, music_store, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, hardware_store : 42029
Saved path: gelateria, music_store, salon, bike_shop, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop : 50376
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, dentist, bank, florist, gelateria, pharmacy : 39518
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, grocery_store : 36263
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, gym, craft_shop, dentist, bookstore, tech_shop, clothing_store : 44151
Saved path: barber_shop, jewelry_store, pet_store, bakery, party_store, hardware_store, craft_shop, bank, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 42625
Saved path: grocery_store, dentist, cafe, bookstore, pizzeria, music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 52948
Saved path: craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 47611
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, gym, pizzeria : 42371
