Saved path: bank, florist, music_store, party_store, salon, bakery, pet_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop : 47278
Saved path: salon, bike_shop, bakery, jewelry_store, gym, toy_store, noodle_house, tech_shop, grocery_store, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy : 37432
Saved path: toy_store, tech_shop, burger_joint, jewelry_store, bakery, bike_shop, salon, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store : 35012
Saved path: dentist, cafe, burger_joint, gym, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, bank, craft_shop : 42017
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, music_store, florist, bank, pizzeria, dentist : 41532
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, pizzeria, gym, craft_shop, bank, music_store, bakery, pet_store, bike_shop : 48354
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon, party_store, pharmacy, gelateria, bank : 35537
Saved path: pizzeria, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop : 40462
Saved path: bookstore, pizzeria, florist, gelateria, barber_shop, jewelry_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, cafe : 51013
Saved path: cafe, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, florist, bank, gym, hardware_store, burger_joint, bookstore : 33800
Saved path: jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store : 30697
Saved path: tech_shop, noodle_house, toy_store, salon, bike_shop, jewelry_store, hardware_store, burger_joint, pizzeria, florist, craft_shop, dentist, cafe, grocery_store, clothing_store : 36057
Saved path: gelateria, pharmacy, party_store, pet_store, bike_shop, salon, jewelry_store, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist : 46955
Saved path: bakery, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint, bookstore, pizzeria, bank, craft_shop, gym, hardware_store, party_store, salon, bike_shop : 32133
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, gelateria, bank, craft_shop, gym, bookstore, cafe, dentist : 50351
Saved path: bakery, hardware_store, burger_joint, tech_shop, clothing_store, toy_store, gym, craft_shop, bank, florist, gelateria, pharmacy, salon, bike_shop, pet_store : 40776
Saved path: music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop : 39466
Saved path: pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, bank, pharmacy, party_store, bike_shop : 51035
Saved path: gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 35988
Saved path: barber_shop, bakery, bike_shop, salon, gelateria, bank, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store : 43996
Saved path: noodle_house, tech_shop, burger_joint, bookstore, dentist, bank, music_store, gelateria, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store : 41972
Saved path: tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, gelateria, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 43521
Saved path: pet_store, bike_shop, salon, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, craft_shop, bank, florist, music_store, gelateria, bakery : 42510
Saved path: pizzeria, craft_shop, dentist, cafe, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 47288
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store : 38206
Saved path: hardware_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore : 38440
Saved path: dentist, craft_shop, florist, music_store, gelateria, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, bookstore, cafe : 42652
Saved path: bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, bank, florist, music_store, party_store, salon, bike_shop : 38008
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, cafe, grocery_store, tech_shop, toy_store, bakery, pet_store : 43347
Saved path: bakery, party_store, gelateria, music_store, florist, pizzeria, cafe, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store : 43327
Saved path: bakery, gym, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, grocery_store, dentist, bank, gelateria, pharmacy, party_store, jewelry_store : 37476
Saved path: gelateria, party_store, bike_shop, pet_store, jewelry_store, gym, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, florist, music_store : 51530
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, gym, pizzeria, craft_shop, music_store, party_store : 46846
Saved path: pet_store, bike_shop, pharmacy, gelateria, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bakery : 49545
Saved path: pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, gelateria : 40273
Saved path: music_store, party_store, bike_shop, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist : 44235
Saved path: toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, gym, bank, music_store, party_store, salon, bike_shop, bakery, barber_shop : 44111
Saved path: bookstore, toy_store, barber_shop, jewelry_store, salon, bakery, gelateria, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, cafe : 36960
Saved path: music_store, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank : 39317
Saved path: toy_store, noodle_house, tech_shop, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store : 32910
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, florist, music_store, party_store, pet_store : 49232
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, craft_shop, bank, florist, music_store, party_store, salon, bakery : 35027
Saved path: bookstore, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, burger_joint, noodle_house, toy_store, grocery_store, cafe : 32840
Saved path: craft_shop, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, bank : 42717
Saved path: pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, bank : 44360
Saved path: jewelry_store, barber_shop, party_store, florist, bank, craft_shop, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bakery, salon : 43954
Saved path: toy_store, clothing_store, tech_shop, noodle_house, burger_joint, gym, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery : 43427
Saved path: gym, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, bank : 48159
Saved path: gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, florist, craft_shop, dentist, bookstore, burger_joint, clothing_store, toy_store : 49761
Saved path: bike_shop, salon, party_store, music_store, pizzeria, bookstore, dentist, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 52233
Saved path: burger_joint, bakery, pet_store, bike_shop, jewelry_store, gelateria, music_store, florist, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, bookstore : 49913
Saved path: craft_shop, bank, pharmacy, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist : 46236
Saved path: burger_joint, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, gym : 52692
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, salon, hardware_store, gym, florist, bank, pizzeria, burger_joint : 30249
Saved path: burger_joint, pizzeria, craft_shop, bank, florist, music_store, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, tech_shop : 41779
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, barber_shop : 45431
Saved path: bank, florist, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop : 35009
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, cafe, gym, craft_shop, bank, florist, gelateria, pharmacy, bakery : 44119
Saved path: music_store, dentist, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, gelateria : 47066
Saved path: toy_store, clothing_store, grocery_store, cafe, bookstore, bank, gelateria, party_store, salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house : 38771
Saved path: bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, salon : 51394
Saved path: dentist, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist, bank, pizzeria, craft_shop : 45672
Saved path: jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 32293
Saved path: dentist, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, bakery, gelateria, music_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store : 46262
Saved path: bakery, jewelry_store, hardware_store, toy_store, grocery_store, burger_joint, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop : 35968
Saved path: gym, pizzeria, bank, gelateria, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, hardware_store : 45624
Saved path: bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, bakery, pet_store : 47975
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, florist, pharmacy, party_store : 47494
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, burger_joint, cafe, clothing_store, toy_store, bakery, pet_store : 44693
Saved path: grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, florist, bank, pizzeria, burger_joint : 45073
Saved path: florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore, craft_shop, bank : 35003
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, florist, gelateria, party_store, bakery, barber_shop : 33781
Saved path: burger_joint, pizzeria, bank, florist, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, noodle_house : 44561
Saved path: tech_shop, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore : 45475
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, cafe, pizzeria, craft_shop, florist, pharmacy, salon, bike_shop : 34556
Saved path: pizzeria, craft_shop, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, grocery_store, tech_shop, hardware_store, gym : 37147
Saved path: bakery, gelateria, craft_shop, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, salon, bike_shop, pet_store : 50615
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop : 46055
Saved path: florist, gelateria, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, tech_shop, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop : 33737
Saved path: bakery, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, bank, florist, music_store, party_store : 37183
Saved path: florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, craft_shop : 40441
Saved path: bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, hardware_store, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop : 37363
Saved path: pharmacy, gelateria, florist, bank, craft_shop, gym, burger_joint, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store : 34655
Saved path: clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store : 49430
Saved path: bike_shop, salon, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, florist, music_store : 37926
Saved path: craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy : 41831
Saved path: grocery_store, cafe, dentist, craft_shop, florist, music_store, gelateria, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store : 47254
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 50124
Saved path: craft_shop, bookstore, cafe, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, music_store : 45490
Saved path: gelateria, music_store, salon, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, florist : 42751
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, gym, burger_joint, cafe : 34291
Saved path: florist, bank, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, bike_shop, pet_store, bakery, pharmacy : 45307
Saved path: bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, pizzeria, bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store : 47243
Saved path: cafe, bookstore, pizzeria, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist : 48270
Saved path: florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, pizzeria, gym, bank : 36112
Saved path: barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, music_store, party_store, bike_shop, pet_store, bakery : 47860
Saved path: party_store, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist, gelateria : 37747
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, clothing_store, dentist, bookstore : 45422
Saved path: music_store, florist, bank, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, salon, pharmacy : 35279
Saved path: gelateria, music_store, pharmacy, barber_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, craft_shop, bank : 38069
Saved path: clothing_store, grocery_store, dentist, cafe, burger_joint, gym, pizzeria, florist, music_store, pharmacy, party_store, salon, pet_store, hardware_store, toy_store : 47318
Saved path: florist, bank, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, jewelry_store, gelateria, music_store : 47981
Saved path: florist, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore : 47835
Saved path: salon, bike_shop, bakery, jewelry_store, hardware_store, gym, pizzeria, bank, craft_shop, dentist, clothing_store, tech_shop, noodle_house, toy_store, party_store : 36361
Saved path: bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house, hardware_store, gym, bank, music_store, gelateria, pharmacy, party_store : 46037
Saved path: barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, gym, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store : 40339
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy : 47025
Saved path: barber_shop, bakery, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, pizzeria, bank, music_store, gelateria, pharmacy : 40595
Saved path: tech_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, party_store, jewelry_store, bakery, gym, burger_joint : 37170
