Saved path: clothing_store, grocery_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, music_store, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store : 46002
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, jewelry_store, hardware_store, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, gym, craft_shop, florist : 42392
Saved path: pharmacy, music_store, florist, gym, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 47733
Saved path: pharmacy, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, bakery, salon, party_store : 29228
Saved path: clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, florist, music_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store : 38607
Saved path: music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank : 50163
Saved path: gym, pizzeria, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, hardware_store : 46172
Saved path: gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, bookstore, dentist, grocery_store, clothing_store, tech_shop, toy_store : 47348
Saved path: bank, gelateria, party_store, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, craft_shop : 35575
Saved path: pizzeria, craft_shop, bank, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym : 33356
Saved path: pet_store, bakery, salon, jewelry_store, hardware_store, toy_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy : 40016
Saved path: noodle_house, toy_store, grocery_store, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, burger_joint, tech_shop : 45561
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop : 43470
Saved path: bike_shop, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery : 40212
Saved path: dentist, cafe, noodle_house, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist, pizzeria, craft_shop : 47288
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, music_store, florist, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store : 49112
Saved path: salon, bakery, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, jewelry_store : 37439
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, gelateria, music_store, florist, gym, hardware_store, burger_joint, bookstore : 37893
Saved path: cafe, dentist, burger_joint, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, bank, pizzeria, bookstore : 49591
Saved path: tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria, dentist, burger_joint : 36285
Saved path: dentist, bank, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, cafe, grocery_store : 40706
Saved path: florist, music_store, gelateria, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, tech_shop, bookstore, dentist, craft_shop, pizzeria, bank : 48139
Saved path: florist, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, cafe, bookstore, bank : 44179
Saved path: dentist, craft_shop, florist, gelateria, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, noodle_house, tech_shop, burger_joint : 46486
Saved path: music_store, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, florist : 47867
Saved path: burger_joint, tech_shop, clothing_store, toy_store, hardware_store, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, gelateria, bank, pizzeria, cafe : 42512
Saved path: music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, florist : 36597
Saved path: tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, florist, craft_shop, dentist, clothing_store : 49425
