Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store : 64484
Saved path: bookstore, burger_joint, gym, craft_shop, florist, music_store, pharmacy, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe : 52638
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, music_store, florist, pet_store, gym : 56471
Saved path: pet_store, florist, gelateria, music_store, barber_shop, bakery, party_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 59436
Saved path: craft_shop, pet_store, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, burger_joint, gym : 70772
Saved path: toy_store, salon, noodle_house, tech_shop, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, jewelry_store, hardware_store : 66798
Saved path: party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, bookstore, cafe, dentist, craft_shop, gelateria, bank, pharmacy : 66370
Saved path: bank, pet_store, gym, hardware_store, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, bike_shop, gelateria : 64856
Saved path: bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, bank, music_store : 64245
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, pharmacy, bank, pizzeria, craft_shop, gym, hardware_store, burger_joint : 65849
Saved path: cafe, bookstore, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, hardware_store, salon, toy_store, clothing_store : 60202
Saved path: bookstore, burger_joint, clothing_store, salon, hardware_store, gym, jewelry_store, party_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, cafe : 68278
Saved path: noodle_house, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, gelateria, music_store, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store : 56897
Saved path: pizzeria, dentist, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, pet_store, craft_shop : 62581
Saved path: bank, florist, hardware_store, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store : 69212
Saved path: party_store, bike_shop, music_store, bank, florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, salon, barber_shop : 67332
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, gym, bank, music_store, pharmacy : 66209
Saved path: cafe, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist : 60774
Saved path: gym, hardware_store, party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, dentist, craft_shop, pet_store, bank, gelateria, florist : 64866
Saved path: jewelry_store, music_store, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop : 65773
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, bank, music_store, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, clothing_store, toy_store : 71058
Saved path: gym, burger_joint, noodle_house, grocery_store, cafe, dentist, pizzeria, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store : 59361
Saved path: gym, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, pet_store, craft_shop : 57968
Saved path: bike_shop, party_store, hardware_store, gym, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, cafe, clothing_store, noodle_house, toy_store, barber_shop : 68278
Saved path: music_store, bank, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, noodle_house, barber_shop, bike_shop, party_store, bakery, gym, florist : 67159
Saved path: bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gelateria, craft_shop : 54225
Saved path: grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, bank, bakery, bike_shop, barber_shop, toy_store, noodle_house : 63441
Saved path: grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, gym, florist, bank, pet_store, craft_shop, dentist, cafe : 64817
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, burger_joint, toy_store, salon, hardware_store, party_store, gym : 68154
Saved path: craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, bank, florist, pet_store : 63564
Saved path: clothing_store, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, pet_store, gym, hardware_store, bike_shop, jewelry_store, barber_shop, salon : 72518
Saved path: bike_shop, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery : 60561
Saved path: dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, cafe : 48219
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop : 64373
Saved path: bank, gelateria, florist, pet_store, gym, pizzeria, dentist, cafe, tech_shop, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy : 71783
Saved path: music_store, bank, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, party_store, gym, florist : 67138
Saved path: gelateria, bank, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, noodle_house, salon, barber_shop, bakery, party_store, pharmacy : 66406
