Saved path: barber_shop, toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store : 63975
Saved path: gelateria, florist, pet_store, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, hardware_store, pharmacy, music_store : 63418
Saved path: tech_shop, dentist, cafe, burger_joint, gym, florist, bank, gelateria, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, grocery_store : 61960
Saved path: dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, gym, burger_joint, salon, clothing_store, grocery_store, cafe : 58939
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop : 47187
Saved path: bookstore, dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store : 68288
Saved path: tech_shop, cafe, bookstore, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, bike_shop, pharmacy, bank, florist, craft_shop, pizzeria : 67341
Saved path: jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, bookstore, cafe, dentist, pizzeria, florist, bank, music_store, pharmacy, bakery : 67329
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, bank, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store : 69782
Saved path: jewelry_store, bike_shop, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy : 64101
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, cafe, tech_shop, clothing_store : 64430
Saved path: salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, dentist, bookstore, grocery_store, noodle_house : 67650
Saved path: burger_joint, gym, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, salon, tech_shop, pizzeria, dentist : 65724
Saved path: toy_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym : 48160
Saved path: cafe, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, gym, hardware_store : 65593
Saved path: gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, music_store, florist, pet_store, craft_shop : 64651
Saved path: clothing_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, bakery, party_store, bike_shop, hardware_store, salon : 68171
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, music_store, bank, gelateria, pet_store : 54584
Saved path: jewelry_store, bike_shop, bakery, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 60022
Saved path: music_store, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy : 64376
Saved path: bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, jewelry_store, party_store : 64226
Saved path: bookstore, burger_joint, bakery, bike_shop, party_store, pharmacy, music_store, florist, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, dentist : 53470
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, hardware_store, burger_joint, bookstore, pizzeria, tech_shop : 52979
Saved path: hardware_store, gym, craft_shop, pizzeria, cafe, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria : 65765
Saved path: jewelry_store, party_store, bakery, pharmacy, hardware_store, gym, burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop : 51446
Saved path: gym, bakery, party_store, jewelry_store, salon, toy_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pet_store : 62671
Saved path: pizzeria, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, party_store, bakery, gym, florist, bank, pet_store, craft_shop : 65892
Saved path: cafe, tech_shop, noodle_house, barber_shop, hardware_store, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore : 60060
Saved path: bakery, pharmacy, bank, florist, craft_shop, gym, hardware_store, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 66092
Saved path: bookstore, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint : 59743
Saved path: cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, gym, burger_joint : 66144
Saved path: bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, noodle_house, barber_shop : 70023
Saved path: salon, barber_shop, bakery, bike_shop, gelateria, bank, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 54377
Saved path: jewelry_store, bike_shop, music_store, bank, gelateria, florist, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, salon, barber_shop : 68219
Saved path: pizzeria, dentist, cafe, tech_shop, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, florist, pet_store, craft_shop : 69965
Saved path: bookstore, dentist, pizzeria, gym, pet_store, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, salon, noodle_house, grocery_store : 71577
Saved path: music_store, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, toy_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, gelateria, bank : 57548
Saved path: florist, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop, noodle_house, salon, toy_store, bike_shop, bakery, pharmacy, gelateria, bank : 52776
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, florist, hardware_store, party_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 66581
Saved path: bakery, party_store, bike_shop, gym, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, florist, bank, gelateria, pharmacy : 62280
Saved path: bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop : 57794
Saved path: florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, bank : 55525
Saved path: grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, craft_shop, bank, pharmacy, bike_shop, gym, toy_store, salon, noodle_house : 61192
Saved path: jewelry_store, bakery, gym, pet_store, gelateria, music_store, florist, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon : 61602
Saved path: pet_store, gym, hardware_store, bookstore, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria : 65932
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, pharmacy, bakery, jewelry_store, bike_shop, gym, craft_shop : 47598
Saved path: craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, salon, hardware_store, bike_shop, bakery, gym, florist, gelateria, bank, pet_store : 62727
Saved path: pet_store, bank, music_store, gym, hardware_store, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria : 68502
Saved path: party_store, jewelry_store, bike_shop, music_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery : 49119
Saved path: gym, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop : 62929
