Saved path: gelateria, florist, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 47563
Saved path: dentist, craft_shop, pizzeria, pharmacy, party_store, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe : 43951
Saved path: tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, cafe, clothing_store : 31978
Saved path: bank, music_store, gelateria, pharmacy, salon, bike_shop, bakery, gym, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, pizzeria : 39723
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, party_store, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store : 51166
Saved path: tech_shop, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house : 36567
Saved path: pharmacy, music_store, bank, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, salon, pet_store, bakery, barber_shop : 48685
Saved path: pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, bank, florist, music_store, barber_shop, bakery : 50497
Saved path: salon, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, gelateria, music_store, pet_store, bike_shop : 51116
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, bank, florist, gelateria, pharmacy, salon : 33389
Saved path: hardware_store, burger_joint, noodle_house, toy_store, gym, pizzeria, craft_shop, bank, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store : 42516
Saved path: cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, pharmacy, gelateria, craft_shop, pizzeria, bookstore, burger_joint : 35964
Saved path: gym, hardware_store, burger_joint, cafe, noodle_house, toy_store, barber_shop, bakery, bike_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop : 38519
Saved path: jewelry_store, bakery, pharmacy, bank, pizzeria, gym, hardware_store, burger_joint, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 39470
Saved path: bookstore, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, bank, gym, hardware_store, burger_joint : 38273
Saved path: craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, pet_store, bakery, jewelry_store, music_store, florist : 45666
Saved path: pizzeria, bank, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym, toy_store, clothing_store, dentist : 49508
Saved path: music_store, gelateria, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, bank, florist : 34354
Saved path: cafe, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, gym, pizzeria, bank, florist, craft_shop, dentist : 44298
Saved path: pizzeria, bank, florist, gelateria, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, dentist : 39274
Saved path: noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, bookstore, cafe : 42646
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, party_store, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, tech_shop : 45473
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store : 51019
