Saved path: craft_shop, bank, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria : 40588
Saved path: florist, bank, craft_shop, gym, burger_joint, cafe, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, party_store, gelateria : 42166
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe : 33734
Saved path: bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 49479
Saved path: hardware_store, gym, pizzeria, bank, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, party_store, salon, bakery, pet_store : 45607
Saved path: bank, florist, pharmacy, party_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, pizzeria : 36042
Saved path: pharmacy, gelateria, bank, gym, pizzeria, dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon : 48409
Saved path: bank, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store : 38317
Saved path: dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, music_store, florist, gym, pizzeria, craft_shop : 50138
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, burger_joint, gym, craft_shop, florist, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery : 44142
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, music_store, florist, gym, craft_shop, dentist, grocery_store, clothing_store : 51641
Saved path: bakery, salon, party_store, music_store, gelateria, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, pet_store : 42923
Saved path: bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, pet_store, bakery, pharmacy, gelateria, florist, bank, craft_shop : 42164
Saved path: bank, florist, gelateria, party_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, pizzeria : 32857
Saved path: bookstore, pizzeria, bank, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, salon, party_store, hardware_store, burger_joint : 35389
Saved path: hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, gelateria, pharmacy, party_store, bike_shop, pet_store : 47227
Saved path: grocery_store, cafe, bookstore, gym, craft_shop, bank, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop : 39694
Saved path: bank, florist, pharmacy, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, gym : 39939
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, pet_store : 43521
Saved path: bike_shop, salon, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, dentist, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 47049
Saved path: noodle_house, toy_store, gym, pet_store, jewelry_store, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop : 48090
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, music_store, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store : 43720
