Saved path: bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 55776
Saved path: gym, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, hardware_store : 57863
Saved path: clothing_store, tech_shop, dentist, cafe, bookstore, gym, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 60871
Saved path: pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, pet_store : 56580
Saved path: bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 66124
Saved path: craft_shop, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, cafe, pizzeria : 65647
Saved path: barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 61262
Saved path: burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 55493
Saved path: music_store, gelateria, hardware_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, florist : 56086
Saved path: florist, craft_shop, gym, hardware_store, bookstore, tech_shop, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 65232
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery, pharmacy : 53146
Saved path: pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, bookstore, grocery_store, tech_shop : 69692
Saved path: barber_shop, bike_shop, party_store, pharmacy, bank, florist, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, toy_store, salon : 64529
Saved path: gelateria, bakery, jewelry_store, bike_shop, barber_shop, salon, clothing_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store : 60271
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, party_store : 61438
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, salon, clothing_store, bookstore, cafe : 67508
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, pet_store, florist, music_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon : 65818
Saved path: cafe, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop : 50355
Saved path: music_store, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery, bike_shop : 47325
