Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, pharmacy, bank, gelateria, florist, pet_store, gym, hardware_store, bookstore, dentist, pizzeria : 60422
Saved path: pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, cafe, bookstore, noodle_house, salon, barber_shop, jewelry_store, bakery, hardware_store : 68102
Saved path: jewelry_store, bike_shop, hardware_store, gym, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 64607
Saved path: clothing_store, grocery_store, dentist, pizzeria, craft_shop, gym, pet_store, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house : 59096
Saved path: florist, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop : 53587
Saved path: burger_joint, bookstore, cafe, dentist, pet_store, bank, music_store, florist, gym, hardware_store, bakery, bike_shop, party_store, jewelry_store, salon : 68733
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, grocery_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, barber_shop : 56622
Saved path: barber_shop, music_store, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, jewelry_store : 64438
Saved path: pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist : 57261
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 59280
Saved path: bank, gelateria, florist, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, clothing_store, salon, barber_shop, bakery, party_store, pharmacy : 66297
Saved path: bakery, pharmacy, music_store, bank, florist, pet_store, gym, noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, party_store, jewelry_store : 60446
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, bike_shop, bakery : 57061
Saved path: pizzeria, dentist, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, bakery, jewelry_store, music_store, bank, florist, pet_store : 68665
Saved path: gym, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, dentist, bookstore, burger_joint : 67757
Saved path: salon, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 66962
Saved path: pizzeria, dentist, tech_shop, gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 69315
Saved path: bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, gym, pet_store, florist : 60457
Saved path: florist, gym, burger_joint, bookstore, cafe, dentist, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank : 65093
Saved path: jewelry_store, party_store, bank, gelateria, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop : 69482
Saved path: burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, craft_shop, gym, hardware_store : 58651
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, hardware_store : 57173
Saved path: cafe, dentist, craft_shop, florist, bank, music_store, pharmacy, bakery, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, grocery_store : 54168
Saved path: pet_store, florist, bank, music_store, pharmacy, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria : 60599
Saved path: music_store, gelateria, florist, craft_shop, bookstore, cafe, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 57017
Saved path: salon, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, noodle_house : 62100
Saved path: gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, florist : 57996
Saved path: music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy : 59644
Saved path: tech_shop, pizzeria, florist, pet_store, gym, hardware_store, jewelry_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe : 59234
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, party_store, pharmacy, music_store, gelateria : 57001
Saved path: music_store, gelateria, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop : 59636
Saved path: music_store, bakery, bike_shop, party_store, hardware_store, toy_store, salon, noodle_house, tech_shop, cafe, gym, craft_shop, pet_store, gelateria, bank : 61107
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, grocery_store, bookstore : 60748
Saved path: burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, toy_store, noodle_house : 51447
Saved path: bank, music_store, bakery, gym, toy_store, salon, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 60130
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bike_shop, party_store, jewelry_store : 61556
Saved path: dentist, cafe, grocery_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop : 61751
Saved path: burger_joint, hardware_store, gym, craft_shop, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist : 70777
Saved path: salon, noodle_house, clothing_store, tech_shop, cafe, craft_shop, pet_store, florist, music_store, bank, pharmacy, bakery, bike_shop, hardware_store, toy_store : 55677
Saved path: cafe, bookstore, dentist, craft_shop, florist, gelateria, music_store, bike_shop, party_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop : 55971
Saved path: pharmacy, gelateria, bank, music_store, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store : 61722
Saved path: barber_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, toy_store : 64865
Saved path: pharmacy, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, music_store, bank : 65161
Saved path: bakery, jewelry_store, party_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, gym, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 60696
Saved path: party_store, bike_shop, pharmacy, gelateria, bank, gym, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store : 68160
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, gym, toy_store, salon, jewelry_store : 66981
Saved path: craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria : 61031
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank : 67491
Saved path: noodle_house, clothing_store, tech_shop, dentist, burger_joint, hardware_store, gym, pet_store, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store : 59166
Saved path: clothing_store, noodle_house, salon, barber_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, cafe, dentist : 62669
Saved path: bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, pharmacy, bank, music_store, florist, gym, craft_shop, pizzeria : 64208
Saved path: bakery, pharmacy, bank, florist, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store : 70650
Saved path: florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, pet_store : 59703
Saved path: toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop : 67405
Saved path: party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy : 52361
Saved path: salon, barber_shop, bike_shop, jewelry_store, hardware_store, gym, craft_shop, pet_store, gelateria, florist, bookstore, tech_shop, grocery_store, clothing_store, toy_store : 58370
Saved path: jewelry_store, party_store, bakery, barber_shop, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, hardware_store, bike_shop : 58502
Saved path: salon, clothing_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop : 62092
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, tech_shop, bookstore, hardware_store, salon, barber_shop : 69715
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, gelateria, pet_store, craft_shop : 56483
Saved path: jewelry_store, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, salon, barber_shop : 72737
Saved path: dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, bank, music_store, florist, craft_shop : 57065
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, gelateria, bank, music_store, florist, gym, hardware_store : 58801
Saved path: burger_joint, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, grocery_store, noodle_house : 63368
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, music_store : 58590
Saved path: pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, barber_shop, gelateria, bank, music_store, florist, craft_shop : 58273
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, florist, music_store, gelateria, bike_shop, jewelry_store : 59083
Saved path: gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store : 71961
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, florist, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store : 67503
Saved path: bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy : 61366
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house : 50801
Saved path: pet_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop : 65217
