Saved path: barber_shop, bakery, pet_store, bike_shop, salon, music_store, gelateria, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store : 49621
Saved path: florist, craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop, salon, pharmacy, gelateria : 38601
Saved path: dentist, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, salon, party_store, florist, pizzeria, craft_shop : 45042
Saved path: salon, bakery, pet_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, party_store : 39323
Saved path: bike_shop, salon, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, florist, gelateria, bakery : 37271
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, bank, florist, music_store, pharmacy, bakery, pet_store, hardware_store : 44877
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop, florist, pharmacy : 44549
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, gym, craft_shop, bank, florist, music_store, gelateria, pet_store : 46210
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, pizzeria, music_store : 43001
Saved path: gelateria, music_store, florist, pizzeria, craft_shop, dentist, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, bakery, bike_shop, pharmacy : 41889
Saved path: music_store, florist, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy : 38171
Saved path: salon, hardware_store, toy_store, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, pharmacy, barber_shop, bakery, pet_store, bike_shop : 49894
