Saved path: burger_joint, bank, florist, music_store, gelateria, party_store, salon, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe : 44842
Saved path: pet_store, bakery, jewelry_store, party_store, pharmacy, music_store, bank, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, gym, bike_shop : 46306
Saved path: pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, toy_store, grocery_store, tech_shop, burger_joint, bookstore : 32168
Saved path: bank, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, florist : 43864
Saved path: bookstore, cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria : 30183
Saved path: salon, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, party_store, bakery, pet_store, bike_shop : 46929
Saved path: party_store, salon, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist : 48627
Saved path: bakery, pet_store, salon, jewelry_store, party_store, music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, toy_store : 46754
Saved path: party_store, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, bank, music_store : 40862
Saved path: pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, bookstore : 47797
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, bookstore, burger_joint, hardware_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store : 46082
Saved path: jewelry_store, barber_shop, bakery, pet_store, bike_shop, gelateria, music_store, florist, bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store : 46699
Saved path: noodle_house, burger_joint, gym, bike_shop, jewelry_store, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 43018
Saved path: music_store, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, pizzeria, bank, florist : 41331
Saved path: party_store, bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, gym, pizzeria, florist, music_store, gelateria, pharmacy : 44017
