Saved path: pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop : 58827
Saved path: pizzeria, dentist, cafe, hardware_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist, craft_shop : 68043
Saved path: bike_shop, hardware_store, gym, pet_store, bank, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, salon, jewelry_store, party_store : 64706
Saved path: bookstore, burger_joint, gym, jewelry_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 54878
Saved path: party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, bakery : 56460
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, hardware_store, gelateria : 66698
Saved path: barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon : 59182
Saved path: burger_joint, gym, music_store, bank, gelateria, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, bookstore : 65888
Saved path: pizzeria, dentist, cafe, bookstore, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop : 72249
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, music_store, pharmacy, party_store : 57583
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, bank, gelateria : 67116
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, pharmacy, bank, music_store, florist, craft_shop, hardware_store, burger_joint, bookstore : 49844
Saved path: dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, jewelry_store, bike_shop, gelateria, bank, craft_shop, pizzeria : 67146
Saved path: jewelry_store, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store : 69559
Saved path: gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, gym : 67680
Saved path: party_store, jewelry_store, bike_shop, music_store, gelateria, florist, pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bakery : 61215
Saved path: jewelry_store, party_store, bakery, hardware_store, florist, music_store, bank, pet_store, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 70943
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, florist : 57098
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, noodle_house, toy_store, hardware_store, bike_shop, barber_shop : 56517
Saved path: cafe, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, dentist : 53077
Saved path: pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, tech_shop, cafe, clothing_store, noodle_house, salon, toy_store, burger_joint, party_store : 63916
Saved path: barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 55595
Saved path: bakery, music_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store : 61347
Saved path: pharmacy, bakery, party_store, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, music_store : 56857
Saved path: barber_shop, noodle_house, clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store : 64545
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, dentist : 61746
Saved path: salon, barber_shop, jewelry_store, bakery, gelateria, music_store, craft_shop, gym, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 59652
Saved path: bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, bank, music_store : 66309
Saved path: burger_joint, gym, craft_shop, pet_store, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist, bookstore : 69717
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, pharmacy, music_store, bank, gelateria, pizzeria, dentist, cafe, bookstore : 57415
