Saved path: jewelry_store, party_store, music_store, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon : 50978
Saved path: bank, gelateria, music_store, pharmacy, jewelry_store, bakery, pet_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop : 48528
Saved path: florist, music_store, pharmacy, pet_store, bakery, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, bookstore, pizzeria, bank : 42038
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, cafe, burger_joint, gym, bank, florist, music_store : 34459
Saved path: burger_joint, hardware_store, jewelry_store, bakery, pharmacy, music_store, florist, bank, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 35936
Saved path: burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym : 41957
Saved path: toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, music_store, pizzeria, bookstore, cafe, dentist, grocery_store, noodle_house : 42527
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery : 45940
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, party_store, music_store, florist, bank, pizzeria, dentist, burger_joint, tech_shop, noodle_house, toy_store : 46791
Saved path: pizzeria, craft_shop, florist, gelateria, jewelry_store, salon, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore : 49266
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, bike_shop, party_store, pharmacy, bank : 34007
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, gelateria, pharmacy, bakery, salon, hardware_store : 33559
Saved path: salon, bakery, pet_store, party_store, pharmacy, gelateria, gym, burger_joint, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store : 48781
Saved path: bank, florist, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop : 42487
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank, craft_shop : 41334
Saved path: pet_store, bakery, party_store, pharmacy, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, jewelry_store, salon : 47918
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, tech_shop, toy_store : 45994
Saved path: craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist : 35040
Saved path: bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, hardware_store, burger_joint : 46181
Saved path: barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, bookstore, pizzeria, bank, music_store, pharmacy, party_store, pet_store, bakery, jewelry_store : 43391
Saved path: tech_shop, toy_store, clothing_store, dentist, bookstore, pizzeria, music_store, pharmacy, party_store, bakery, salon, jewelry_store, hardware_store, gym, burger_joint : 40641
Saved path: pizzeria, florist, pharmacy, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, dentist, bookstore : 44530
