Saved path: grocery_store, cafe, burger_joint, pizzeria, craft_shop, gym, hardware_store, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store : 32856
Saved path: bakery, gelateria, music_store, hardware_store, gym, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop : 46477
Saved path: salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store, pharmacy : 37027
Saved path: cafe, burger_joint, bookstore, pizzeria, florist, gelateria, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 47222
Saved path: gym, hardware_store, pet_store, bakery, salon, jewelry_store, party_store, music_store, florist, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store : 50434
Saved path: salon, music_store, gelateria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop : 42805
Saved path: bike_shop, bakery, barber_shop, party_store, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, tech_shop, noodle_house, toy_store, hardware_store : 43206
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, party_store, hardware_store, gym, florist, pizzeria, bookstore, clothing_store, tech_shop, noodle_house, toy_store : 45247
Saved path: jewelry_store, barber_shop, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, music_store, pharmacy, bakery, pet_store : 52453
Saved path: dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, barber_shop, pharmacy, bank, craft_shop, pizzeria, bookstore : 49146
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house : 47029
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, burger_joint, bookstore, tech_shop, toy_store, clothing_store, dentist, gelateria, pharmacy, bakery : 50553
Saved path: burger_joint, bookstore, pizzeria, florist, gym, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe : 47114
Saved path: toy_store, noodle_house, burger_joint, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, dentist, grocery_store : 47610
Saved path: bank, craft_shop, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, pharmacy, music_store : 38768
Saved path: tech_shop, burger_joint, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, toy_store : 36217
