Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, bank : 68278
Saved path: noodle_house, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, music_store, jewelry_store, party_store, bakery, gym, toy_store, salon : 63540
Saved path: cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, bank, pet_store, craft_shop, gym : 62086
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, hardware_store, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe : 68252
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, pet_store, gym, bakery, toy_store : 48415
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bakery, party_store, jewelry_store, bike_shop : 57950
Saved path: pharmacy, gelateria, bank, music_store, florist, pet_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, jewelry_store, bike_shop : 63992
Saved path: burger_joint, bookstore, tech_shop, pizzeria, craft_shop, florist, bank, gelateria, jewelry_store, party_store, bakery, gym, toy_store, salon, noodle_house : 67122
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, craft_shop, dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store : 70600
Saved path: bank, gelateria, florist, pet_store, gym, burger_joint, bookstore, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, pharmacy : 69661
Saved path: pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, craft_shop, florist, gelateria, bank : 61859
Saved path: pet_store, craft_shop, dentist, cafe, grocery_store, noodle_house, bookstore, burger_joint, gym, jewelry_store, bakery, pharmacy, music_store, bank, gelateria : 61322
Saved path: dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, tech_shop : 66859
Saved path: cafe, bookstore, hardware_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop : 56914
Saved path: toy_store, grocery_store, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym : 64559
Saved path: bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, salon, barber_shop : 66584
Saved path: bike_shop, bakery, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, burger_joint, hardware_store : 49094
Saved path: bookstore, burger_joint, gym, hardware_store, bakery, jewelry_store, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house : 58635
Saved path: tech_shop, grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store, salon, barber_shop, bakery, gelateria, bank, pet_store, craft_shop, pizzeria : 58104
Saved path: pet_store, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, dentist : 59277
Saved path: bookstore, burger_joint, cafe, dentist, pet_store, florist, bank, gelateria, jewelry_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop : 67767
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 59828
Saved path: party_store, bike_shop, hardware_store, burger_joint, toy_store, salon, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bakery : 55058
Saved path: pizzeria, tech_shop, cafe, burger_joint, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, pet_store, craft_shop : 55393
Saved path: party_store, bakery, pharmacy, music_store, florist, pet_store, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 54612
