Saved path: party_store, gelateria, music_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 39847
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, florist, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 46396
Saved path: noodle_house, tech_shop, bookstore, hardware_store, jewelry_store, barber_shop, pet_store, bakery, music_store, bank, craft_shop, dentist, grocery_store, clothing_store, toy_store : 50930
Saved path: toy_store, noodle_house, burger_joint, grocery_store, dentist, craft_shop, florist, bank, pizzeria, gym, bakery, bike_shop, salon, party_store, barber_shop : 40601
Saved path: bank, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria : 40946
Saved path: pharmacy, gelateria, music_store, bank, pizzeria, dentist, grocery_store, clothing_store, burger_joint, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 51296
Saved path: cafe, dentist, craft_shop, bank, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, burger_joint, bookstore : 44416
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, pizzeria, bank, dentist, cafe, burger_joint, hardware_store, bike_shop, pet_store, bakery : 42268
Saved path: pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, gym, toy_store, noodle_house, tech_shop, burger_joint, dentist, bookstore : 41529
Saved path: salon, bike_shop, bakery, music_store, florist, bank, craft_shop, pizzeria, gym, toy_store, clothing_store, noodle_house, burger_joint, hardware_store, jewelry_store : 37406
Saved path: cafe, burger_joint, hardware_store, gym, bank, music_store, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, grocery_store : 47851
Saved path: dentist, craft_shop, bank, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, bookstore, burger_joint, cafe : 38574
Saved path: bookstore, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, craft_shop, dentist, grocery_store, toy_store, tech_shop : 50554
Saved path: toy_store, grocery_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, bank, craft_shop, pizzeria, gym : 44051
Saved path: pharmacy, party_store, salon, bakery, pet_store, gym, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store : 42597
Saved path: florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, gym, craft_shop : 40011
Saved path: bakery, hardware_store, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store, gym, craft_shop, bank, pharmacy, party_store, salon, bike_shop : 31965
Saved path: clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, noodle_house : 38391
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, music_store, florist, bank, gym, hardware_store, burger_joint, cafe, dentist, grocery_store : 41190
Saved path: dentist, craft_shop, bank, florist, gelateria, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe : 34714
Saved path: tech_shop, noodle_house, toy_store, clothing_store, dentist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, hardware_store, burger_joint, bookstore : 50760
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, gelateria, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, gym, toy_store : 35435
Saved path: burger_joint, hardware_store, salon, bakery, party_store, gelateria, bank, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop : 32196
Saved path: hardware_store, pet_store, jewelry_store, party_store, pharmacy, gelateria, florist, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 43634
Saved path: hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, bank, pizzeria, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym : 44535
Saved path: toy_store, clothing_store, cafe, burger_joint, hardware_store, jewelry_store, pet_store, bakery, pharmacy, music_store, florist, bank, craft_shop, pizzeria, gym : 44539
Saved path: hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, gelateria, jewelry_store, pet_store : 51465
Saved path: bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, florist, gym, salon, bike_shop, pet_store : 42267
Saved path: pizzeria, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, salon, jewelry_store, party_store, pharmacy, gelateria : 48155
Saved path: clothing_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, toy_store, noodle_house : 36274
Saved path: clothing_store, grocery_store, dentist, pizzeria, bank, florist, gelateria, jewelry_store, salon, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store : 45347
Saved path: bank, dentist, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, pet_store, bike_shop, salon, music_store, gelateria : 48827
Saved path: pharmacy, florist, bank, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon : 39113
Saved path: bank, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, gym, toy_store, noodle_house, clothing_store, dentist, pizzeria : 46267
Saved path: pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, dentist, craft_shop, gym, bank, florist, music_store, gelateria, pharmacy : 50713
Saved path: hardware_store, pet_store, bakery, salon, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store : 43749
Saved path: salon, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, hardware_store, pet_store, bike_shop : 46123
