Saved path: cafe, dentist, craft_shop, gym, florist, music_store, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, bookstore : 50288
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, pet_store, hardware_store, toy_store, noodle_house, grocery_store, dentist : 45593
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bakery, barber_shop, toy_store : 37692
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, salon, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, dentist, grocery_store : 33265
Saved path: gym, burger_joint, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, music_store, florist, bank, craft_shop : 40657
Saved path: salon, party_store, pharmacy, gelateria, bank, bookstore, burger_joint, tech_shop, clothing_store, toy_store, gym, jewelry_store, bakery, pet_store, bike_shop : 43745
Saved path: pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, bank, pharmacy, party_store, bakery : 45306
Saved path: tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, gelateria, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store : 47508
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, grocery_store, clothing_store, bookstore, gym, hardware_store : 41928
Saved path: tech_shop, burger_joint, gym, hardware_store, jewelry_store, salon, pet_store, gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store : 49518
Saved path: bike_shop, party_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, gym, bakery, pet_store : 48207
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank, florist, pharmacy, party_store, bakery, bike_shop, jewelry_store, toy_store : 36770
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, music_store, pharmacy, pet_store, bike_shop, jewelry_store, hardware_store, gym : 53002
Saved path: bakery, salon, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym : 31309
Saved path: pharmacy, party_store, jewelry_store, salon, bakery, pet_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, music_store : 43980
Saved path: salon, jewelry_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store : 44754
Saved path: jewelry_store, salon, bakery, party_store, pharmacy, gelateria, bank, pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 34657
Saved path: pet_store, bakery, salon, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop : 40642
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, bank, craft_shop, bookstore, cafe, burger_joint, gym : 43519
Saved path: gelateria, music_store, florist, pizzeria, bookstore, burger_joint, cafe, clothing_store, toy_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store : 43867
Saved path: hardware_store, gym, pizzeria, bookstore, dentist, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, party_store, pharmacy : 47200
Saved path: barber_shop, hardware_store, toy_store, burger_joint, cafe, dentist, pizzeria, bank, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store : 49480
Saved path: gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bike_shop, party_store : 40582
Saved path: hardware_store, gym, toy_store, grocery_store, cafe, dentist, craft_shop, bank, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 50341
Saved path: music_store, bank, dentist, cafe, bookstore, burger_joint, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store : 50696
Saved path: pizzeria, gym, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 40623
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, barber_shop : 39975
Saved path: hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, barber_shop : 41224
Saved path: cafe, dentist, craft_shop, pizzeria, bank, music_store, pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, bookstore : 42137
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, party_store, gelateria, pizzeria, bookstore : 45990
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, gelateria, craft_shop, dentist, grocery_store, clothing_store : 37028
Saved path: burger_joint, gym, pizzeria, craft_shop, bank, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, noodle_house : 45632
Saved path: burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, bank, cafe, grocery_store, clothing_store, toy_store, tech_shop : 46436
Saved path: bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, bookstore, bank, florist, music_store, pharmacy, party_store, bakery, pet_store : 41515
Saved path: gelateria, florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store : 42778
Saved path: pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, burger_joint, grocery_store, dentist, pizzeria, bank, florist, music_store, gelateria : 48804
Saved path: dentist, cafe, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, gym, florist, bank : 46981
Saved path: toy_store, barber_shop, bakery, bike_shop, salon, pharmacy, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, noodle_house, tech_shop, clothing_store : 37197
Saved path: bakery, salon, jewelry_store, barber_shop, party_store, gelateria, music_store, florist, bank, dentist, burger_joint, tech_shop, toy_store, hardware_store, pet_store : 48926
Saved path: dentist, grocery_store, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop : 43395
Saved path: noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, gym, hardware_store, salon, bike_shop, bakery, party_store, gelateria, barber_shop, toy_store : 43833
Saved path: gelateria, florist, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, bike_shop, party_store : 48153
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, bank, florist, party_store, bike_shop, bakery, barber_shop : 38546
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint : 46064
Saved path: music_store, pharmacy, party_store, bike_shop, bakery, barber_shop, hardware_store, gym, toy_store, tech_shop, cafe, dentist, pizzeria, bank, florist : 43069
Saved path: bookstore, cafe, grocery_store, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, party_store, pharmacy, bank, craft_shop, pizzeria : 40564
Saved path: cafe, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint, gym, bakery, jewelry_store, party_store, pharmacy, music_store, craft_shop, dentist : 39459
Saved path: bookstore, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, bank, craft_shop : 40178
Saved path: gelateria, music_store, craft_shop, gym, hardware_store, cafe, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store : 47851
Saved path: barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, florist, bank, craft_shop, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 34384
Saved path: pharmacy, music_store, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store : 38722
Saved path: gelateria, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, craft_shop, florist : 44807
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, bookstore, burger_joint, gym, florist, music_store, gelateria : 38437
Saved path: music_store, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, gym, florist : 39459
Saved path: craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, bike_shop, salon, party_store, pharmacy, gelateria, florist : 37855
