Saved path: gym, toy_store, clothing_store, tech_shop, bookstore, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store : 36563
Saved path: dentist, craft_shop, pizzeria, bank, florist, party_store, bakery, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe : 36271
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, music_store, bank, pizzeria, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store : 49029
Saved path: pharmacy, party_store, bakery, pet_store, salon, jewelry_store, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, florist, music_store, gelateria : 42915
Saved path: burger_joint, tech_shop, toy_store, gym, hardware_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, pizzeria, bookstore, dentist : 39437
Saved path: party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, bike_shop : 39126
Saved path: music_store, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pizzeria : 47763
Saved path: pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore : 47256
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 40647
Saved path: music_store, bank, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, bakery, party_store, gelateria : 32754
Saved path: toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, craft_shop, florist, gelateria, pharmacy, party_store, pet_store, salon, jewelry_store, hardware_store : 45053
Saved path: bank, florist, pharmacy, jewelry_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop : 37208
Saved path: cafe, clothing_store, noodle_house, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, craft_shop, bookstore : 46385
Saved path: cafe, bookstore, pizzeria, bank, florist, music_store, jewelry_store, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist : 49859
Saved path: burger_joint, tech_shop, toy_store, barber_shop, jewelry_store, pharmacy, salon, bike_shop, bakery, gym, pizzeria, craft_shop, dentist, cafe, bookstore : 39981
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, pizzeria, pharmacy, salon, bike_shop, pet_store, bakery : 44359
