Saved path: bakery, barber_shop, party_store, music_store, craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store : 52888
Saved path: hardware_store, gym, toy_store, clothing_store, dentist, cafe, bookstore, bank, florist, music_store, party_store, barber_shop, jewelry_store, bakery, pet_store : 52042
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pizzeria, bookstore : 37342
Saved path: pharmacy, gelateria, bank, craft_shop, gym, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, jewelry_store, salon, bakery, pet_store : 42272
Saved path: music_store, florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, bike_shop, bakery, barber_shop : 42448
Saved path: cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, bakery, bike_shop, salon, party_store, music_store, bank, pizzeria, craft_shop, dentist : 38917
Saved path: pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, bank : 47204
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, music_store, florist, craft_shop, dentist, cafe, burger_joint, bookstore : 48867
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, bakery, salon, jewelry_store : 34363
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, gym, toy_store, noodle_house, tech_shop, grocery_store, pizzeria, craft_shop, florist : 46730
Saved path: gym, pharmacy, party_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria : 38379
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, florist, gelateria, pharmacy, party_store : 36341
Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bakery, party_store, pharmacy : 45317
