Saved path: tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, craft_shop, pizzeria, burger_joint : 44887
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, florist, gym, bookstore : 48056
Saved path: bookstore, pizzeria, craft_shop, florist, gelateria, jewelry_store, salon, bakery, pet_store, gym, toy_store, noodle_house, clothing_store, dentist, cafe : 48296
Saved path: toy_store, clothing_store, burger_joint, bookstore, dentist, craft_shop, bank, music_store, pharmacy, party_store, bakery, bike_shop, salon, hardware_store, gym : 40352
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, gym, craft_shop, gelateria, pharmacy, bakery, pet_store, bike_shop, salon : 51906
Saved path: bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, music_store, gelateria : 48907
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, music_store, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store : 50212
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, gelateria, florist, craft_shop, pizzeria, burger_joint : 31817
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, florist, craft_shop, dentist, cafe, grocery_store, toy_store : 39323
Saved path: clothing_store, cafe, dentist, craft_shop, bank, gelateria, music_store, salon, bakery, pet_store, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store : 47143
Saved path: bookstore, grocery_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, florist, bank : 44178
Saved path: bike_shop, jewelry_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, music_store, bakery, pet_store : 48503
Saved path: bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, salon, party_store, pharmacy, music_store, florist, pizzeria : 46832
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 45701
Saved path: pet_store, bike_shop, party_store, music_store, bank, pizzeria, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery : 48260
Saved path: toy_store, clothing_store, noodle_house, burger_joint, bookstore, pizzeria, gym, craft_shop, florist, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop : 37939
Saved path: music_store, pharmacy, hardware_store, gym, burger_joint, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 52080
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, pizzeria, gym, burger_joint : 38334
Saved path: barber_shop, jewelry_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store : 35981
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, bank, pizzeria, craft_shop : 44879
Saved path: gelateria, music_store, bank, gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, pet_store, bakery, salon, party_store : 44350
Saved path: bookstore, pizzeria, florist, pharmacy, party_store, salon, bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, grocery_store, dentist, burger_joint : 49511
Saved path: party_store, salon, bakery, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, bookstore, craft_shop, bank, florist, gelateria, pharmacy : 30348
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, gelateria : 43828
Saved path: burger_joint, cafe, clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house : 38040
