Saved path: music_store, gelateria, party_store, pet_store, bakery, salon, jewelry_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, pizzeria, bank : 47865
Saved path: bike_shop, pet_store, bakery, party_store, pharmacy, florist, bank, pizzeria, bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, hardware_store : 43834
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, cafe, gym, pizzeria, craft_shop, florist : 35744
Saved path: bike_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, gelateria, music_store, pharmacy, barber_shop, bakery, pet_store : 48191
Saved path: bakery, gym, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, jewelry_store, salon, bike_shop : 40512
Saved path: hardware_store, gym, pizzeria, florist, music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint : 45029
Saved path: grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, dentist : 40799
Saved path: toy_store, grocery_store, dentist, craft_shop, gym, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bike_shop, bakery, barber_shop : 42789
Saved path: pizzeria, gelateria, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, cafe, burger_joint, hardware_store, gym : 40022
Saved path: pharmacy, salon, bakery, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, gym, pizzeria, craft_shop, florist, music_store, gelateria : 34939
Saved path: bakery, salon, pharmacy, gelateria, music_store, florist, pizzeria, gym, hardware_store, cafe, grocery_store, clothing_store, toy_store, barber_shop, pet_store : 47361
Saved path: pet_store, bike_shop, salon, jewelry_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, music_store, gelateria, pharmacy : 49087
Saved path: bank, gelateria, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, hardware_store, gym, pizzeria : 46767
Saved path: toy_store, grocery_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, burger_joint, tech_shop, noodle_house : 41958
Saved path: grocery_store, toy_store, burger_joint, gym, hardware_store, pet_store, salon, party_store, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, cafe : 45580
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, pet_store, bike_shop, jewelry_store, pharmacy, music_store, bank, craft_shop, dentist, grocery_store : 49867
Saved path: barber_shop, jewelry_store, salon, bakery, party_store, gelateria, music_store, florist, bank, dentist, burger_joint, cafe, grocery_store, clothing_store, toy_store : 37538
Saved path: florist, bank, pizzeria, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, party_store : 30349
Saved path: pizzeria, bank, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist : 39714
Saved path: florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, dentist, pizzeria : 44024
Saved path: bank, florist, music_store, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, bookstore, cafe, burger_joint, gym, craft_shop : 45356
Saved path: bakery, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, salon, bike_shop : 38602
Saved path: party_store, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, bookstore, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 47365
Saved path: gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, bookstore, cafe, burger_joint, gym, craft_shop, bank, florist : 43466
Saved path: toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, party_store, bike_shop, bakery, gym, burger_joint, tech_shop, noodle_house : 39490
Saved path: bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, hardware_store, gym, bank, florist, music_store, pharmacy, party_store : 38759
Saved path: party_store, jewelry_store, bike_shop, pet_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy : 42217
Saved path: cafe, dentist, craft_shop, bank, music_store, pharmacy, party_store, salon, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store : 35547
Saved path: burger_joint, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop : 45194
Saved path: florist, craft_shop, dentist, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store : 40468
Saved path: bookstore, bank, florist, music_store, pharmacy, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist : 39505
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe : 37731
Saved path: bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, toy_store, clothing_store, tech_shop, bookstore, dentist, craft_shop : 44951
Saved path: pharmacy, music_store, florist, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, bike_shop, bakery, party_store : 35190
Saved path: gelateria, pharmacy, party_store, pet_store, bakery, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop : 41548
Saved path: cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, pet_store, bike_shop, party_store, gelateria, music_store, florist, pizzeria, craft_shop, dentist : 47177
Saved path: bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, cafe, bookstore, bank, gelateria, pharmacy, pet_store : 48382
Saved path: bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, craft_shop, dentist, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop : 35682
Saved path: pet_store, bike_shop, pharmacy, gelateria, gym, burger_joint, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 50614
Saved path: party_store, pharmacy, florist, bank, craft_shop, dentist, grocery_store, bookstore, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon : 36597
Saved path: bookstore, cafe, dentist, bank, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop, salon, hardware_store, toy_store, clothing_store, tech_shop : 43532
Saved path: music_store, gelateria, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist, cafe, burger_joint, gym, florist : 50520
Saved path: hardware_store, gym, craft_shop, bank, gelateria, party_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint : 34462
Saved path: bank, florist, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, craft_shop : 43045
Saved path: clothing_store, cafe, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, salon, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 32831
Saved path: clothing_store, grocery_store, burger_joint, gym, craft_shop, bank, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 35750
Saved path: tech_shop, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, clothing_store : 40764
Saved path: toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, bank, pizzeria, bookstore, burger_joint, dentist, grocery_store : 40217
Saved path: barber_shop, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, dentist, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store : 47202
Saved path: salon, party_store, gym, florist, bank, craft_shop, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 47654
Saved path: bike_shop, bakery, party_store, gelateria, music_store, bank, pizzeria, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store : 40436
Saved path: salon, pharmacy, florist, bank, pizzeria, craft_shop, dentist, cafe, bookstore, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 47198
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, florist, bank, gym, pizzeria, dentist, grocery_store, clothing_store, toy_store : 39393
Saved path: barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store : 37781
Saved path: gelateria, florist, bank, bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, pet_store, bakery, salon, party_store : 42948
Saved path: grocery_store, cafe, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, hardware_store, gym, pizzeria, bank, dentist : 46565
Saved path: tech_shop, burger_joint, gym, hardware_store, jewelry_store, bike_shop, party_store, pharmacy, gelateria, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store : 41592
Saved path: party_store, pharmacy, gelateria, music_store, bank, craft_shop, bookstore, cafe, noodle_house, toy_store, gym, hardware_store, bike_shop, pet_store, bakery : 43377
Saved path: dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria : 48165
Saved path: florist, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, music_store : 40417
Saved path: hardware_store, gym, bank, florist, music_store, gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 38532
Saved path: hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, toy_store, gym : 45621
Saved path: craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, salon, party_store, gelateria, florist, bank : 39089
Saved path: gym, hardware_store, bakery, salon, pharmacy, music_store, florist, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 37397
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store, jewelry_store, barber_shop, toy_store, grocery_store, cafe, burger_joint : 46479
Saved path: bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, gym, hardware_store : 41206
