Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, bookstore, dentist, cafe, burger_joint, noodle_house, toy_store, gym : 51228
Saved path: cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, gelateria, music_store, florist, bank, craft_shop, dentist : 37655
Saved path: pharmacy, gelateria, music_store, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, pet_store : 43638
Saved path: bank, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, gelateria : 47850
Saved path: bank, florist, gelateria, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, tech_shop, grocery_store, bookstore : 40523
Saved path: hardware_store, toy_store, noodle_house, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, jewelry_store, bakery, pet_store : 49340
Saved path: party_store, pharmacy, gelateria, florist, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon : 33104
Saved path: pharmacy, gelateria, florist, dentist, clothing_store, grocery_store, cafe, bookstore, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, party_store : 48777
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, salon, party_store, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore : 37900
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, pharmacy, party_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop : 38309
Saved path: gym, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, party_store, pharmacy, music_store, florist, pizzeria : 37472
Saved path: bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop : 34368
Saved path: florist, music_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, noodle_house, burger_joint, bookstore, bank : 46841
Saved path: music_store, gelateria, party_store, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist : 38839
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bank, florist, pharmacy, salon, bike_shop, pet_store, bakery : 45430
Saved path: pharmacy, music_store, bank, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, bakery, bike_shop : 40478
Saved path: florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, hardware_store, jewelry_store, pet_store, bakery, party_store, pharmacy, gelateria, music_store : 42215
Saved path: barber_shop, jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, craft_shop, gym, pizzeria, bookstore, cafe, clothing_store, toy_store : 33649
Saved path: tech_shop, hardware_store, gym, craft_shop, bank, gelateria, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, barber_shop, toy_store, grocery_store : 44349
Saved path: bakery, salon, jewelry_store, pharmacy, florist, bank, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, toy_store, hardware_store, pet_store : 45481
Saved path: bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, pet_store, gym, toy_store, tech_shop, burger_joint, cafe : 41162
Saved path: bank, craft_shop, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, party_store, pharmacy, music_store : 40408
Saved path: florist, craft_shop, cafe, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria : 45416
Saved path: pizzeria, gym, burger_joint, dentist, clothing_store, tech_shop, toy_store, barber_shop, bakery, pet_store, salon, party_store, pharmacy, gelateria, craft_shop : 50257
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, dentist, grocery_store, toy_store, burger_joint, gym, hardware_store, jewelry_store, salon, bakery, pet_store : 50425
Saved path: gelateria, pharmacy, salon, bakery, barber_shop, hardware_store, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, music_store : 38587
Saved path: clothing_store, cafe, pizzeria, bank, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 45547
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, craft_shop, gym, bakery, pet_store, bike_shop, salon, pharmacy : 44474
Saved path: party_store, pharmacy, music_store, florist, pizzeria, gym, hardware_store, burger_joint, dentist, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 53575
Saved path: toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, music_store, pharmacy, salon, bike_shop, bakery, barber_shop : 40226
Saved path: bank, craft_shop, gym, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, salon, pharmacy, music_store : 45646
Saved path: pharmacy, gelateria, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bike_shop, party_store : 38192
Saved path: salon, bike_shop, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, bank, gelateria, pharmacy : 40595
Saved path: cafe, dentist, bank, florist, music_store, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 50328
Saved path: gelateria, gym, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, salon, bike_shop, pet_store, bakery : 52038
Saved path: hardware_store, gym, toy_store, clothing_store, dentist, burger_joint, bookstore, pizzeria, bank, florist, music_store, party_store, bike_shop, bakery, jewelry_store : 42856
Saved path: gym, bank, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, noodle_house, burger_joint, dentist, cafe, bookstore, pizzeria : 41649
Saved path: hardware_store, jewelry_store, bakery, salon, pharmacy, music_store, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store : 37475
Saved path: burger_joint, noodle_house, toy_store, clothing_store, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym : 45229
Saved path: bakery, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, salon, bike_shop : 35436
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, gym, toy_store, cafe, bookstore, pizzeria, craft_shop, florist : 40531
