Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, pharmacy, party_store, salon, bike_shop, pet_store, gym, burger_joint : 47663
Saved path: craft_shop, pizzeria, bookstore, burger_joint, hardware_store, party_store, salon, bakery, pet_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 43964
Saved path: bike_shop, jewelry_store, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, bakery, pet_store : 50443
Saved path: salon, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, hardware_store, bakery, pet_store, bike_shop : 47096
Saved path: bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, pet_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 42473
Saved path: gym, hardware_store, pet_store, bakery, jewelry_store, party_store, music_store, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 45270
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, pizzeria, craft_shop, bank, florist, music_store : 37321
Saved path: burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, pharmacy, gelateria, bank, craft_shop, pizzeria : 42624
Saved path: jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, florist, dentist, grocery_store, burger_joint, tech_shop, noodle_house, toy_store, barber_shop : 50006
Saved path: bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint, bookstore, pizzeria, craft_shop, florist, gelateria, pharmacy : 47653
Saved path: clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, bookstore, pizzeria, bank, craft_shop, dentist, cafe : 46484
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, cafe, dentist, craft_shop, florist, music_store : 40989
Saved path: salon, hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, party_store, barber_shop, bakery, pet_store : 46322
Saved path: salon, hardware_store, gym, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, bank, florist, gelateria, bakery, pet_store, bike_shop : 46369
Saved path: gelateria, florist, craft_shop, gym, pizzeria, bookstore, tech_shop, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, party_store : 44347
Saved path: gelateria, pharmacy, party_store, bakery, bike_shop, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, dentist, bank, music_store : 38707
Saved path: grocery_store, cafe, bookstore, bank, music_store, gelateria, pharmacy, jewelry_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop : 43539
Saved path: dentist, cafe, bookstore, pizzeria, florist, pharmacy, party_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store : 40838
Saved path: florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, burger_joint, cafe, dentist, craft_shop, bank : 46099
Saved path: dentist, clothing_store, toy_store, gym, hardware_store, bakery, bike_shop, salon, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, cafe : 37574
Saved path: barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store : 35612
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, craft_shop, bank, florist, music_store : 36460
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, florist : 34256
Saved path: gym, hardware_store, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, pharmacy, florist, bank, pizzeria : 44315
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, florist, bank, gym, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 49226
Saved path: florist, bank, pizzeria, craft_shop, dentist, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy : 37787
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, bank, music_store, gelateria, party_store, jewelry_store, barber_shop, bakery, pet_store : 45509
Saved path: burger_joint, gym, jewelry_store, pet_store, bakery, music_store, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, noodle_house, tech_shop : 50783
Saved path: party_store, salon, bakery, jewelry_store, gym, burger_joint, bookstore, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, gelateria : 40395
Saved path: hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, bike_shop, bakery : 39392
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, barber_shop : 36503
Saved path: barber_shop, bakery, bike_shop, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, hardware_store : 43811
Saved path: toy_store, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, florist, bank, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store : 37756
Saved path: clothing_store, toy_store, hardware_store, pet_store, bakery, salon, party_store, music_store, bank, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store : 42897
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, pharmacy, jewelry_store, bike_shop, bakery, gym : 40212
Saved path: burger_joint, hardware_store, gym, pizzeria, bank, florist, music_store, pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, noodle_house, grocery_store : 46958
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, florist, bank, craft_shop, bookstore, cafe, burger_joint : 31939
Saved path: hardware_store, jewelry_store, salon, party_store, gelateria, music_store, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym : 40612
