Saved path: bank, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, gym : 37859
Saved path: craft_shop, pizzeria, burger_joint, tech_shop, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, barber_shop, pharmacy, music_store, florist, bank : 45626
Saved path: pet_store, party_store, pharmacy, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery : 43837
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, bank, bookstore : 43684
Saved path: hardware_store, burger_joint, toy_store, grocery_store, dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop : 50502
Saved path: party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, bakery, salon : 29977
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, bank, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store : 43554
Saved path: salon, bike_shop, bakery, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, florist, bank, craft_shop, gym, hardware_store, jewelry_store : 31644
Saved path: bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, salon, pharmacy, gelateria, music_store, florist, dentist, grocery_store : 41126
Saved path: gelateria, music_store, florist, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, pet_store, salon, party_store, pharmacy : 47144
Saved path: party_store, pharmacy, florist, pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, salon : 34596
Saved path: hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, florist, music_store, gelateria, party_store, barber_shop, jewelry_store, bakery, pet_store : 52172
Saved path: toy_store, noodle_house, clothing_store, dentist, craft_shop, pizzeria, florist, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym : 39301
Saved path: noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, gelateria, party_store, salon, bike_shop, pet_store, bakery, hardware_store, burger_joint, bookstore : 45363
Saved path: barber_shop, party_store, music_store, florist, pizzeria, craft_shop, dentist, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, pet_store, bakery : 52140
Saved path: dentist, grocery_store, tech_shop, toy_store, barber_shop, bakery, pet_store, bike_shop, music_store, gelateria, bank, gym, hardware_store, burger_joint, cafe : 54062
Saved path: bike_shop, bakery, barber_shop, hardware_store, toy_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, pharmacy : 40693
Saved path: dentist, craft_shop, pizzeria, bank, florist, party_store, bike_shop, pet_store, bakery, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe : 42977
Saved path: burger_joint, hardware_store, gym, bank, florist, music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore : 40915
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, bank, pizzeria, cafe, clothing_store : 40163
Saved path: jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, clothing_store, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop : 50558
Saved path: cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, music_store, bank, pizzeria, bookstore : 43516
Saved path: dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist : 47199
Saved path: craft_shop, gym, cafe, clothing_store, tech_shop, noodle_house, toy_store, bakery, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, florist : 37354
Saved path: hardware_store, gym, bank, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, burger_joint : 35783
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, burger_joint, bookstore, pizzeria, florist, bank, gym, bakery, bike_shop : 37817
Saved path: bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, bank, music_store, party_store : 33753
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, bookstore, pizzeria, bank, florist, music_store, party_store, salon, bike_shop, pet_store : 44516
Saved path: pet_store, bike_shop, party_store, pharmacy, music_store, florist, gym, pizzeria, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery : 47144
Saved path: hardware_store, barber_shop, pet_store, bakery, salon, party_store, music_store, gelateria, pizzeria, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym : 52825
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, music_store, pharmacy, salon, bike_shop, pet_store, jewelry_store, gym, toy_store, noodle_house : 46022
Saved path: grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, bank, gym, bookstore, dentist : 49962
Saved path: bookstore, pizzeria, gym, craft_shop, bank, gelateria, party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint : 36012
Saved path: hardware_store, bakery, salon, party_store, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, burger_joint, tech_shop, clothing_store, toy_store : 30906
Saved path: bookstore, pizzeria, gym, craft_shop, bank, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop, burger_joint, cafe : 45778
Saved path: florist, craft_shop, gym, cafe, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store : 45423
Saved path: barber_shop, party_store, pharmacy, music_store, bank, craft_shop, pizzeria, bookstore, grocery_store, tech_shop, toy_store, hardware_store, salon, bakery, pet_store : 45593
Saved path: music_store, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, hardware_store, toy_store, grocery_store, tech_shop, burger_joint, bookstore, pizzeria, florist : 44398
Saved path: bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, music_store, gelateria, party_store, pet_store : 51117
