Saved path: pharmacy, gelateria, bank, dentist, clothing_store, grocery_store, cafe, burger_joint, noodle_house, toy_store, barber_shop, bakery, bike_shop, salon, party_store : 38618
Saved path: toy_store, noodle_house, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, florist, music_store, salon, bakery, jewelry_store, barber_shop : 39152
Saved path: music_store, party_store, bike_shop, pet_store, bakery, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, florist : 43266
Saved path: gym, bookstore, cafe, dentist, grocery_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, music_store, florist, craft_shop : 52933
Saved path: tech_shop, burger_joint, cafe, dentist, craft_shop, florist, music_store, gelateria, party_store, jewelry_store, salon, bike_shop, bakery, toy_store, clothing_store : 38940
Saved path: tech_shop, noodle_house, toy_store, hardware_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, pizzeria, dentist, grocery_store, clothing_store : 46191
Saved path: party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank, music_store, pharmacy : 40679
Saved path: burger_joint, cafe, dentist, craft_shop, bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, pet_store, bike_shop, hardware_store, noodle_house : 49303
Saved path: florist, bank, craft_shop, gym, burger_joint, cafe, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pharmacy, gelateria, music_store : 34041
Saved path: craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, jewelry_store, party_store, gelateria, music_store : 44191
Saved path: bike_shop, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, gym, jewelry_store, salon : 35117
Saved path: barber_shop, hardware_store, gym, toy_store, burger_joint, cafe, dentist, bookstore, pizzeria, bank, gelateria, music_store, salon, bike_shop, bakery : 45574
