Saved path: bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, bank, music_store : 59786
Saved path: cafe, bookstore, toy_store, salon, barber_shop, bakery, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop : 64923
Saved path: florist, gelateria, music_store, party_store, jewelry_store, bike_shop, gym, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store : 61869
Saved path: pharmacy, music_store, gelateria, pet_store, gym, hardware_store, bookstore, dentist, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store : 60516
Saved path: grocery_store, clothing_store, cafe, bookstore, hardware_store, salon, barber_shop, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop : 60864
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy : 53894
Saved path: noodle_house, salon, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, burger_joint, cafe, grocery_store, clothing_store : 61249
Saved path: barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, gelateria, music_store, bakery, party_store, jewelry_store : 61936
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, pizzeria, tech_shop, clothing_store, noodle_house, burger_joint, hardware_store : 67296
Saved path: clothing_store, tech_shop, burger_joint, dentist, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 65544
Saved path: gelateria, bank, pet_store, pizzeria, dentist, grocery_store, noodle_house, toy_store, gym, hardware_store, salon, barber_shop, jewelry_store, bakery, pharmacy : 70330
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store : 51000
Saved path: music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, tech_shop, cafe, burger_joint, gym, craft_shop : 55409
Saved path: cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bakery, hardware_store, gym, music_store, bank, florist, craft_shop, pizzeria, dentist : 58444
Saved path: salon, barber_shop, party_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, gym, hardware_store : 64305
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy : 68881
Saved path: bakery, bike_shop, jewelry_store, hardware_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy : 65493
Saved path: clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house : 61191
Saved path: craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, party_store, bakery, music_store, gelateria, pet_store : 57578
Saved path: bank, pet_store, bookstore, burger_joint, toy_store, salon, barber_shop, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, gelateria : 59545
Saved path: pharmacy, party_store, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, florist, gelateria, bank, music_store : 58193
Saved path: cafe, burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, bakery, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist : 60525
Saved path: toy_store, noodle_house, salon, barber_shop, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, gym, hardware_store : 54474
Saved path: salon, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house : 69933
Saved path: bookstore, burger_joint, tech_shop, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, craft_shop, pet_store, florist : 55898
Saved path: cafe, dentist, tech_shop, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, gym, burger_joint : 66249
Saved path: pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, tech_shop : 65949
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, gym, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store : 68945
Saved path: party_store, jewelry_store, bike_shop, barber_shop, pharmacy, bank, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, toy_store, hardware_store : 73195
Saved path: bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, florist, music_store, gelateria, pharmacy : 49587
Saved path: dentist, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop : 60321
Saved path: bookstore, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, hardware_store, burger_joint : 64813
Saved path: bakery, hardware_store, gym, florist, bank, pet_store, dentist, burger_joint, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 68802
Saved path: bike_shop, jewelry_store, party_store, gym, hardware_store, salon, toy_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store : 70190
Saved path: cafe, burger_joint, gym, craft_shop, florist, bank, pharmacy, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 55561
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, bakery, pharmacy, bank, gelateria, florist : 51664
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, gym, bookstore : 65028
Saved path: dentist, pizzeria, craft_shop, florist, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore : 53263
