Saved path: clothing_store, noodle_house, salon, barber_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, toy_store : 56913
Saved path: jewelry_store, bakery, pharmacy, florist, pet_store, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store : 55166
Saved path: florist, pet_store, craft_shop, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank : 56547
Saved path: toy_store, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, music_store, pet_store, dentist, bookstore, burger_joint, hardware_store : 60614
Saved path: music_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, pet_store, gelateria, bank : 64434
Saved path: clothing_store, noodle_house, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store : 57225
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, bakery, pharmacy : 57049
Saved path: gym, florist, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery : 60752
Saved path: florist, bank, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop : 65126
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, party_store, bakery, gym : 59083
Saved path: jewelry_store, music_store, gelateria, florist, pet_store, craft_shop, gym, bookstore, cafe, grocery_store, clothing_store, noodle_house, barber_shop, bakery, party_store : 55913
Saved path: bank, music_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, noodle_house, salon, jewelry_store, bike_shop, bakery, gelateria : 67035
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, grocery_store : 56248
Saved path: noodle_house, barber_shop, hardware_store, party_store, jewelry_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, cafe, burger_joint, clothing_store : 68006
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store : 57121
Saved path: pizzeria, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, tech_shop : 65260
Saved path: burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 56816
Saved path: dentist, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, bank, florist, gym, hardware_store, burger_joint : 61378
Saved path: florist, bank, pharmacy, bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store : 64615
Saved path: burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bakery, barber_shop, toy_store, hardware_store : 49156
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, salon : 51226
Saved path: clothing_store, bookstore, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, gym, hardware_store, salon, toy_store : 62830
Saved path: clothing_store, noodle_house, toy_store, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, tech_shop : 55480
Saved path: dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, noodle_house, clothing_store, tech_shop, bookstore : 64529
Saved path: hardware_store, gym, craft_shop, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, burger_joint : 66921
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, salon : 56567
Saved path: burger_joint, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, craft_shop, dentist, tech_shop, clothing_store, noodle_house : 64337
Saved path: pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, music_store, bank, gelateria : 65874
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, party_store, barber_shop, toy_store : 60278
Saved path: grocery_store, bookstore, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, hardware_store, toy_store, noodle_house : 66697
Saved path: florist, gelateria, pet_store, craft_shop, dentist, tech_shop, cafe, burger_joint, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, gym : 58649
Saved path: burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, barber_shop, salon, noodle_house, toy_store, hardware_store : 52363
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, bike_shop, party_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore : 59878
Saved path: toy_store, gym, gelateria, bank, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon : 53390
Saved path: burger_joint, cafe, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, craft_shop, gym : 67035
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, craft_shop, florist, gelateria : 59077
Saved path: bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, jewelry_store : 62475
Saved path: salon, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, grocery_store, noodle_house : 61052
Saved path: barber_shop, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store : 51484
Saved path: florist, bank, music_store, pharmacy, bike_shop, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, craft_shop, pet_store : 63793
Saved path: bakery, party_store, bike_shop, music_store, bank, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 66541
