Saved path: jewelry_store, party_store, pharmacy, gelateria, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, bike_shop : 53270
Saved path: burger_joint, noodle_house, clothing_store, grocery_store, cafe, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store : 57311
Saved path: music_store, gelateria, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, jewelry_store, pharmacy : 60710
Saved path: pharmacy, music_store, bank, florist, pet_store, dentist, cafe, bookstore, tech_shop, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, hardware_store : 70577
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, bike_shop, jewelry_store : 71728
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, cafe, bookstore, gym, hardware_store, party_store, pharmacy, gelateria, pizzeria : 54632
Saved path: party_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy : 64691
Saved path: bike_shop, bakery, music_store, bank, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store : 58521
Saved path: pizzeria, dentist, grocery_store, tech_shop, cafe, burger_joint, gym, hardware_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop : 59152
Saved path: gym, hardware_store, bike_shop, jewelry_store, bakery, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, florist : 66025
Saved path: gym, florist, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, bookstore, burger_joint, party_store, bike_shop : 68710
Saved path: toy_store, hardware_store, barber_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house : 68752
Saved path: toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 60976
Saved path: pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, florist : 63759
Saved path: pet_store, dentist, tech_shop, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, florist : 72284
Saved path: florist, bank, pharmacy, bakery, bike_shop, party_store, hardware_store, salon, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store : 69115
Saved path: party_store, jewelry_store, barber_shop, noodle_house, toy_store, gym, burger_joint, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy : 66941
Saved path: bank, gelateria, bakery, party_store, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, craft_shop, pet_store : 59271
Saved path: tech_shop, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, bookstore, cafe : 55063
Saved path: tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, gelateria, bank, florist, hardware_store, burger_joint, bookstore, cafe : 62891
Saved path: pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, cafe, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, party_store, bakery : 62315
Saved path: hardware_store, bakery, party_store, bike_shop, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, noodle_house, burger_joint, gym : 60340
Saved path: florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, music_store : 57058
Saved path: clothing_store, noodle_house, toy_store, gym, pet_store, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, burger_joint, bookstore, cafe, tech_shop : 53603
Saved path: gym, toy_store, salon, noodle_house, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, party_store, hardware_store : 65124
Saved path: burger_joint, cafe, dentist, pizzeria, grocery_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, gym, hardware_store : 60149
Saved path: grocery_store, clothing_store, dentist, pet_store, florist, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, bookstore, cafe, tech_shop : 61824
Saved path: bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, florist : 69781
Saved path: dentist, grocery_store, toy_store, salon, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, gym, burger_joint, bookstore : 68230
Saved path: tech_shop, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, clothing_store : 64253
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, tech_shop, pizzeria, craft_shop, florist, music_store, bank, bakery : 66345
Saved path: jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, pet_store, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, salon : 59851
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, noodle_house, salon, hardware_store, party_store, bike_shop, bakery, pharmacy, gelateria, bank : 63965
Saved path: grocery_store, bookstore, dentist, pizzeria, pet_store, gelateria, music_store, gym, hardware_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store : 65085
Saved path: noodle_house, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery, bike_shop, gym, toy_store, salon : 57800
Saved path: toy_store, noodle_house, clothing_store, tech_shop, cafe, hardware_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 64465
Saved path: tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, salon, noodle_house, clothing_store, grocery_store : 55205
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gym, florist, music_store, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop : 57290
Saved path: bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, bank, pharmacy : 60743
Saved path: music_store, jewelry_store, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, bank : 61280
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, gym, pizzeria, cafe, bookstore, clothing_store, noodle_house, toy_store, salon : 70989
Saved path: pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, music_store, florist, gym : 60272
Saved path: jewelry_store, bike_shop, bakery, hardware_store, gelateria, bank, florist, craft_shop, dentist, burger_joint, bookstore, clothing_store, noodle_house, salon, barber_shop : 67230
Saved path: barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, pharmacy, party_store, jewelry_store : 61068
Saved path: bike_shop, jewelry_store, party_store, music_store, bank, florist, pet_store, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 69873
Saved path: gelateria, music_store, pharmacy, party_store, bakery, barber_shop, noodle_house, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist : 57775
Saved path: grocery_store, dentist, pizzeria, gym, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 60327
