Saved path: party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 65314
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, florist, bank, pet_store : 68103
Saved path: bakery, pharmacy, gelateria, bank, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store : 68168
Saved path: music_store, gelateria, pharmacy, bakery, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop : 54193
Saved path: hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, clothing_store, cafe, burger_joint : 64483
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 65804
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bakery, jewelry_store, music_store, florist : 54204
Saved path: party_store, bike_shop, gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store : 59468
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, music_store, bank, gelateria, pet_store, craft_shop, gym : 53961
Saved path: jewelry_store, party_store, bakery, pharmacy, florist, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, gym : 59669
Saved path: pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, pet_store, bank, music_store : 50845
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, gym, pet_store, bank, gelateria : 64461
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop, florist, gelateria, bike_shop, party_store, barber_shop, salon : 53795
Saved path: bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria : 59856
Saved path: bakery, bike_shop, jewelry_store, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, florist, bank, gelateria, pharmacy : 58718
Saved path: burger_joint, bookstore, pet_store, florist, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 66029
Saved path: noodle_house, salon, jewelry_store, bike_shop, bakery, pharmacy, bank, pet_store, gym, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store : 66316
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, tech_shop, pizzeria, gym, florist, bank, pharmacy, bakery : 67809
Saved path: hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, florist, bank, pharmacy, jewelry_store, bike_shop : 61463
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, florist, bookstore, cafe, hardware_store, bakery : 50771
Saved path: hardware_store, gym, craft_shop, music_store, bank, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint : 50465
Saved path: burger_joint, gym, craft_shop, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist : 68650
Saved path: jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy : 56410
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon : 61182
Saved path: craft_shop, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, salon, barber_shop, bakery, pharmacy, gelateria, bank, music_store, florist : 52835
Saved path: noodle_house, salon, toy_store, burger_joint, gym, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, dentist, grocery_store : 66312
Saved path: hardware_store, jewelry_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 65771
Saved path: music_store, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, florist : 60975
Saved path: cafe, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint : 56460
Saved path: bakery, music_store, gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store : 56417
Saved path: burger_joint, bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, hardware_store, toy_store, noodle_house : 61401
Saved path: pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, pharmacy, bank, music_store, craft_shop : 68583
Saved path: party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym, florist, music_store, bank, pharmacy : 64957
Saved path: hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, noodle_house, salon : 68314
Saved path: florist, gelateria, pharmacy, party_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop : 55748
Saved path: salon, noodle_house, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, bank, gelateria, bike_shop, jewelry_store, hardware_store, gym, toy_store : 69936
Saved path: florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym : 69653
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, florist, craft_shop, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, toy_store : 54948
Saved path: pharmacy, party_store, jewelry_store, bike_shop, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank : 64205
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, hardware_store, pharmacy, bank, pet_store, craft_shop : 69931
Saved path: jewelry_store, barber_shop, noodle_house, clothing_store, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery : 67546
Saved path: pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, party_store, bakery, bank, florist : 67067
Saved path: pizzeria, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, gym, hardware_store, burger_joint, bookstore, dentist : 61632
Saved path: gym, toy_store, salon, burger_joint, bookstore, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 59965
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, barber_shop, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, gym : 52475
Saved path: toy_store, barber_shop, bike_shop, party_store, hardware_store, gym, pet_store, gelateria, music_store, florist, pizzeria, cafe, bookstore, grocery_store, noodle_house : 62942
Saved path: salon, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store : 58653
Saved path: hardware_store, salon, barber_shop, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, gym : 65973
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, craft_shop, music_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, grocery_store : 55449
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, hardware_store, salon : 53142
Saved path: pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, florist, craft_shop, gym, hardware_store, burger_joint, cafe : 58876
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, hardware_store, gym, bookstore, cafe, dentist, florist, music_store, bank : 67243
Saved path: salon, barber_shop, jewelry_store, party_store, gelateria, bank, florist, pet_store, craft_shop, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 69935
Saved path: clothing_store, toy_store, hardware_store, gym, bookstore, cafe, pizzeria, pet_store, gelateria, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house : 65225
Saved path: hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, craft_shop, gym, burger_joint, bookstore, dentist, clothing_store, toy_store, salon : 58529
Saved path: bookstore, cafe, pizzeria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store : 63194
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, bookstore, hardware_store, gym : 57053
Saved path: clothing_store, toy_store, barber_shop, bike_shop, bakery, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 57189
Saved path: gym, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, barber_shop, toy_store : 51753
Saved path: party_store, bike_shop, gym, pet_store, bank, gelateria, florist, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery : 64032
Saved path: bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, gym, hardware_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop : 47197
Saved path: gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, music_store, bank, pet_store : 65085
Saved path: hardware_store, burger_joint, cafe, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, party_store : 50164
Saved path: hardware_store, bookstore, cafe, tech_shop, grocery_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, gym : 66677
Saved path: pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, barber_shop, noodle_house, tech_shop : 65829
Saved path: gym, florist, gelateria, bank, pet_store, pizzeria, cafe, bookstore, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 70435
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, gym, pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, barber_shop : 72689
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house : 56011
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, music_store, gelateria, florist, pet_store, pizzeria, dentist : 57458
Saved path: bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, gym, pet_store, bank, music_store, pharmacy : 60141
Saved path: barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, hardware_store, gym, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop : 76121
