Saved path: party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store : 53655
Saved path: salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, gym, toy_store : 66818
Saved path: toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, music_store, pharmacy, party_store, bike_shop, hardware_store, gym : 57542
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, florist, music_store, jewelry_store, party_store, bakery, barber_shop, noodle_house : 64802
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, gym, burger_joint, bookstore : 56106
Saved path: florist, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 60420
Saved path: salon, noodle_house, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store : 60934
Saved path: burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store : 57344
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, jewelry_store, gelateria, florist, craft_shop : 57147
Saved path: burger_joint, gym, gelateria, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, salon, noodle_house, grocery_store, pizzeria, dentist, bookstore : 66226
Saved path: barber_shop, party_store, gelateria, bank, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, salon : 67185
Saved path: pizzeria, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, bakery, pharmacy, florist, pet_store, craft_shop : 51683
Saved path: pizzeria, dentist, cafe, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, party_store, bakery, music_store, florist, craft_shop : 51950
Saved path: florist, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop : 52060
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, bookstore, gym, hardware_store, bike_shop, party_store, bakery : 60311
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, bakery, bike_shop, jewelry_store, salon, toy_store : 63180
Saved path: bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 55601
