Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store : 63091
Saved path: toy_store, salon, barber_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store : 53704
Saved path: barber_shop, salon, noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, hardware_store, party_store, jewelry_store : 67499
Saved path: bakery, party_store, jewelry_store, toy_store, burger_joint, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy : 61321
Saved path: salon, toy_store, burger_joint, gym, bakery, party_store, pharmacy, bank, music_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store : 62531
Saved path: grocery_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, craft_shop, pizzeria, dentist, tech_shop : 61265
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, party_store, bike_shop, burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist : 61745
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, bookstore, hardware_store, craft_shop, florist, bank, music_store, pharmacy, bakery : 64979
Saved path: music_store, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop : 62991
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy : 56659
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop : 62624
Saved path: bakery, pharmacy, gelateria, music_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store : 50710
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, cafe, hardware_store, gym, pizzeria, craft_shop, florist, music_store, bank, pharmacy : 69309
Saved path: bank, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, florist, music_store : 62611
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store : 55954
Saved path: burger_joint, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, gym : 67907
Saved path: bank, pet_store, pizzeria, dentist, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, gym, florist, music_store : 69297
Saved path: burger_joint, hardware_store, craft_shop, florist, bank, pharmacy, bakery, party_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore : 58364
Saved path: bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pizzeria, gym, hardware_store, burger_joint : 69365
Saved path: jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, gym, florist, music_store, bank, gelateria, pharmacy : 65424
Saved path: gym, burger_joint, dentist, tech_shop, grocery_store, clothing_store, salon, hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, pet_store, craft_shop : 60366
Saved path: bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop, florist, music_store, bank, gelateria : 66164
Saved path: salon, toy_store, noodle_house, tech_shop, dentist, pizzeria, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 64325
Saved path: toy_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, burger_joint, hardware_store : 69074
Saved path: barber_shop, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, jewelry_store : 63014
Saved path: dentist, clothing_store, noodle_house, salon, bike_shop, party_store, bakery, music_store, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, cafe : 57516
Saved path: pizzeria, craft_shop, florist, bank, bakery, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop : 65468
Saved path: burger_joint, bookstore, cafe, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, gelateria, bank, pet_store, craft_shop, gym, hardware_store : 54783
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, music_store, bank, bakery, barber_shop, salon, toy_store, clothing_store : 60613
Saved path: salon, noodle_house, clothing_store, dentist, cafe, hardware_store, gym, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 68692
Saved path: pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery, jewelry_store, gelateria, bank, florist, pet_store : 68100
Saved path: hardware_store, party_store, bike_shop, gelateria, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 52826
Saved path: hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, gelateria, music_store, florist, craft_shop, pizzeria, gym : 61230
Saved path: clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pet_store, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house : 55474
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, dentist, pizzeria : 67965
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, bank, pet_store, gym, burger_joint, cafe, dentist, pizzeria : 69437
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bike_shop : 55305
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, florist, bank : 67638
Saved path: gym, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, clothing_store, noodle_house, salon, toy_store : 69009
Saved path: bakery, barber_shop, toy_store, gym, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, jewelry_store, party_store : 63805
Saved path: bakery, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, dentist, cafe, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy : 50896
