Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, florist, pharmacy, bakery, party_store, hardware_store, burger_joint, cafe : 49387
Saved path: hardware_store, salon, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, party_store : 56643
Saved path: bookstore, dentist, pizzeria, gelateria, bank, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe : 66589
Saved path: salon, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, pharmacy, bakery, bike_shop, hardware_store, gym, toy_store : 53414
Saved path: bike_shop, jewelry_store, party_store, bakery, burger_joint, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy : 56966
Saved path: florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 61665
Saved path: grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, bike_shop, party_store, bakery, barber_shop, music_store, gelateria, pet_store, craft_shop, dentist : 57365
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, noodle_house : 54761
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, bank, gelateria, pharmacy : 70110
Saved path: jewelry_store, party_store, hardware_store, cafe, grocery_store, clothing_store, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 56920
Saved path: grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, barber_shop, salon, noodle_house : 51221
Saved path: toy_store, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, music_store, party_store, bakery, barber_shop, salon : 59967
Saved path: bookstore, cafe, tech_shop, noodle_house, salon, toy_store, hardware_store, jewelry_store, bakery, pharmacy, bank, gelateria, florist, pet_store, craft_shop : 62212
Saved path: pharmacy, gelateria, bank, music_store, florist, pet_store, bookstore, tech_shop, grocery_store, toy_store, salon, hardware_store, party_store, bike_shop, bakery : 60266
Saved path: hardware_store, burger_joint, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store : 61858
Saved path: gelateria, florist, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, pharmacy, bank : 56952
Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, bank, florist, craft_shop : 65827
Saved path: pharmacy, gelateria, bank, music_store, pizzeria, dentist, tech_shop, cafe, burger_joint, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery : 66473
Saved path: gelateria, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria : 69248
Saved path: toy_store, hardware_store, bookstore, cafe, clothing_store, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, party_store, bike_shop, barber_shop, salon : 66263
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist : 55593
Saved path: bike_shop, party_store, bakery, pharmacy, gelateria, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop : 56833
