Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, hardware_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist : 68685
Saved path: barber_shop, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, pharmacy, jewelry_store, bike_shop : 70084
Saved path: jewelry_store, party_store, pharmacy, gelateria, music_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop : 62057
Saved path: cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist : 63736
Saved path: music_store, florist, craft_shop, bookstore, cafe, grocery_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank : 60072
Saved path: gym, burger_joint, cafe, grocery_store, tech_shop, dentist, craft_shop, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 51455
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store : 47629
Saved path: grocery_store, tech_shop, pizzeria, bookstore, gym, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house : 60936
Saved path: craft_shop, pizzeria, dentist, bookstore, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, gelateria, pet_store : 63016
Saved path: toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop, salon, noodle_house : 51716
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, hardware_store, burger_joint, toy_store, noodle_house : 51533
Saved path: hardware_store, burger_joint, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, bakery, bike_shop, jewelry_store, party_store : 64003
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, florist, music_store, jewelry_store, bakery, hardware_store, gym, toy_store, salon, noodle_house : 57470
Saved path: craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, gelateria, music_store, florist : 52516
Saved path: pharmacy, bakery, party_store, bike_shop, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store, florist : 49935
Saved path: pizzeria, craft_shop, gelateria, bank, jewelry_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist : 66934
Saved path: noodle_house, tech_shop, cafe, dentist, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon : 60193
Saved path: music_store, florist, gym, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank : 66773
Saved path: pizzeria, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop : 55163
Saved path: bank, gelateria, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, florist : 61575
Saved path: gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, bookstore, hardware_store, gym, florist : 69166
Saved path: music_store, florist, pet_store, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bakery : 54525
