Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bakery, party_store, gelateria, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore : 55061
Saved path: bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, burger_joint : 53533
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, florist, pet_store, gym : 64343
Saved path: dentist, craft_shop, pet_store, florist, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 54064
Saved path: florist, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, toy_store, salon, hardware_store, gym, party_store, bakery, gelateria, music_store : 56042
Saved path: toy_store, salon, barber_shop, jewelry_store, bike_shop, gym, pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint : 71624
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, florist, music_store, bank, pharmacy, jewelry_store : 66132
Saved path: pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, party_store, pharmacy, gelateria, florist, pet_store, craft_shop : 55115
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop : 54334
Saved path: salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, florist, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store : 59248
Saved path: gym, hardware_store, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store : 65637
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, bike_shop, hardware_store, toy_store : 51711
Saved path: cafe, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore : 52826
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store : 59035
Saved path: pet_store, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, barber_shop, hardware_store, bakery, pharmacy, gelateria, bank, music_store, florist : 59884
Saved path: bakery, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store : 53833
Saved path: dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, salon, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop : 65240
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, hardware_store, gym, craft_shop, florist, bank, party_store, jewelry_store, bike_shop : 66391
Saved path: clothing_store, grocery_store, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, bakery, barber_shop, salon, toy_store, noodle_house : 54364
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, bank, pharmacy, hardware_store, jewelry_store : 68343
Saved path: party_store, jewelry_store, bike_shop, hardware_store, gelateria, bank, music_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, noodle_house, barber_shop, bakery : 68838
Saved path: noodle_house, clothing_store, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, jewelry_store, barber_shop, salon : 66931
Saved path: cafe, tech_shop, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop : 63214
Saved path: salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, gelateria, bank, music_store, party_store, barber_shop : 63513
Saved path: barber_shop, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, pet_store, gym, hardware_store, party_store, bike_shop : 60572
Saved path: bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, gelateria : 67026
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, florist, pizzeria, gym, hardware_store : 68895
Saved path: bank, florist, pet_store, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bakery, pharmacy, gelateria : 67228
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy : 56581
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, hardware_store, gym, toy_store : 56700
Saved path: bike_shop, hardware_store, salon, burger_joint, bookstore, cafe, tech_shop, dentist, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store : 59856
Saved path: gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, grocery_store, dentist, bookstore, burger_joint, gym, florist, music_store, bank : 65003
Saved path: pharmacy, music_store, florist, pet_store, gym, hardware_store, burger_joint, dentist, pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store : 61781
Saved path: grocery_store, noodle_house, barber_shop, salon, toy_store, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, burger_joint, bookstore, tech_shop : 58532
Saved path: florist, gelateria, pharmacy, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop : 55690
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, florist, music_store, bank, bakery : 61158
Saved path: burger_joint, tech_shop, clothing_store, noodle_house, salon, hardware_store, party_store, bike_shop, music_store, bank, gelateria, florist, pet_store, craft_shop, gym : 61119
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, pharmacy : 62736
Saved path: cafe, bookstore, grocery_store, noodle_house, toy_store, party_store, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist : 63306
Saved path: pet_store, bank, gelateria, jewelry_store, bakery, hardware_store, gym, toy_store, salon, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop : 67194
Saved path: bike_shop, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 47852
Saved path: clothing_store, grocery_store, burger_joint, pizzeria, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house : 64412
Saved path: jewelry_store, party_store, gym, bookstore, cafe, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gelateria : 61829
Saved path: craft_shop, pizzeria, cafe, bookstore, burger_joint, clothing_store, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store : 62971
Saved path: music_store, bank, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, jewelry_store : 66718
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, dentist : 64698
Saved path: toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, bank, music_store, florist, pet_store, dentist, burger_joint, bookstore, grocery_store, clothing_store : 67728
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, bookstore : 64572
Saved path: bank, pet_store, gym, bike_shop, party_store, hardware_store, salon, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, florist : 69019
Saved path: bookstore, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, hardware_store, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 68946
Saved path: dentist, pizzeria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe : 58639
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym : 63054
Saved path: hardware_store, salon, toy_store, clothing_store, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery : 54236
Saved path: tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, burger_joint, cafe : 60629
Saved path: dentist, craft_shop, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store : 54486
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, gelateria, music_store, jewelry_store : 58050
Saved path: bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store : 66377
Saved path: pet_store, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop : 49529
Saved path: gelateria, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, bank : 55484
Saved path: bakery, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist, bookstore, grocery_store, noodle_house, salon, hardware_store, gym, party_store : 57140
Saved path: gym, toy_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, music_store, florist, pet_store, pizzeria, tech_shop, cafe, burger_joint, hardware_store : 56065
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, burger_joint : 57519
Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, craft_shop, florist, bank, music_store, pharmacy : 52048
Saved path: salon, barber_shop, bakery, bike_shop, gelateria, pet_store, craft_shop, pizzeria, dentist, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store : 55529
Saved path: toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, barber_shop, noodle_house, clothing_store : 51343
Saved path: bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, toy_store, clothing_store, grocery_store : 60459
Saved path: bank, music_store, florist, pet_store, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon, toy_store, gym, bakery, party_store, pharmacy : 65093
Saved path: pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, gym, bookstore, dentist, pizzeria : 63699
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store : 58638
Saved path: bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, gym : 55736
Saved path: bike_shop, gym, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy : 59681
Saved path: cafe, burger_joint, craft_shop, florist, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 52987
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, pet_store, bank, music_store : 59999
Saved path: clothing_store, noodle_house, salon, bike_shop, party_store, pharmacy, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 63156
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, bike_shop, party_store, hardware_store, gym, toy_store, noodle_house, bookstore : 57006
Saved path: pharmacy, bakery, bike_shop, jewelry_store, salon, hardware_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank : 70146
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint : 62118
Saved path: bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, gym, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 62018
