Saved path: pizzeria, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, bike_shop, jewelry_store, music_store, florist, pet_store : 59310
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, hardware_store, cafe, burger_joint, toy_store, barber_shop : 61598
Saved path: barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, gym, hardware_store, burger_joint, cafe, dentist, grocery_store, noodle_house, toy_store, salon : 69250
Saved path: dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 58132
Saved path: jewelry_store, party_store, bike_shop, bakery, pharmacy, music_store, bank, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, salon : 69304
Saved path: toy_store, gym, bike_shop, jewelry_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, salon : 59279
Saved path: bank, music_store, gym, burger_joint, bookstore, cafe, dentist, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria : 65766
Saved path: bookstore, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, jewelry_store, music_store, bank, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint : 65133
Saved path: pet_store, gelateria, music_store, florist, gym, hardware_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, pizzeria : 56870
Saved path: florist, pet_store, gym, craft_shop, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank : 67674
Saved path: jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, craft_shop, pet_store, florist, gelateria, bike_shop : 58333
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, bank, music_store, florist, craft_shop, gym, hardware_store, toy_store, tech_shop : 54901
Saved path: florist, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, gelateria : 54296
Saved path: party_store, jewelry_store, salon, toy_store, noodle_house, tech_shop, cafe, burger_joint, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop : 55978
Saved path: pharmacy, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, bank : 60300
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, bank, craft_shop : 66010
Saved path: burger_joint, gym, craft_shop, gelateria, bank, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, pizzeria, dentist : 70318
Saved path: hardware_store, party_store, bakery, pharmacy, gelateria, music_store, florist, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, salon : 53841
Saved path: bakery, bank, florist, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, party_store : 62814
Saved path: pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, gym, bike_shop, pharmacy, music_store, bank, gelateria : 57893
Saved path: florist, gelateria, bank, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, bookstore, cafe, pizzeria, craft_shop : 70747
Saved path: dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 64150
Saved path: barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, toy_store, salon : 71059
Saved path: cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 66136
Saved path: clothing_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop : 56965
Saved path: hardware_store, gym, florist, bank, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint : 61910
Saved path: pharmacy, gelateria, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery : 52881
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, bike_shop, party_store, pharmacy, gelateria, bank, florist, pet_store : 61920
Saved path: dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, cafe : 56573
Saved path: gelateria, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, pharmacy : 58775
Saved path: noodle_house, clothing_store, grocery_store, bookstore, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, hardware_store, toy_store, salon : 68817
Saved path: party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery : 63709
Saved path: salon, noodle_house, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, florist, music_store, bank, bakery, party_store, bike_shop, barber_shop : 64173
Saved path: jewelry_store, salon, noodle_house, clothing_store, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop : 63962
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe : 43647
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, noodle_house, salon : 57817
Saved path: bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, bookstore, burger_joint, gym, florist, music_store, bank : 66989
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop : 65898
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, florist : 59606
Saved path: jewelry_store, party_store, hardware_store, florist, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, salon, barber_shop : 63716
Saved path: pharmacy, music_store, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, hardware_store, jewelry_store, party_store, bakery : 54833
Saved path: florist, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 59665
Saved path: clothing_store, noodle_house, toy_store, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop : 56791
Saved path: music_store, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 60820
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, gym, pizzeria, pet_store, florist, gelateria, bank : 71740
Saved path: noodle_house, salon, bike_shop, party_store, pharmacy, music_store, bank, florist, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store : 63181
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, pet_store, florist, gelateria, bank, pharmacy, hardware_store : 55731
Saved path: bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, music_store, gelateria : 59452
Saved path: florist, gelateria, music_store, pharmacy, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, dentist, pizzeria, craft_shop : 55893
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, gym, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, bakery : 56395
Saved path: noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, florist, pizzeria, dentist, bookstore, tech_shop, grocery_store : 56199
Saved path: burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store : 66396
Saved path: dentist, pizzeria, craft_shop, gelateria, bank, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe : 54322
Saved path: cafe, burger_joint, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, florist, pet_store, pizzeria, tech_shop, grocery_store : 57712
Saved path: tech_shop, cafe, dentist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, toy_store, noodle_house, grocery_store : 61111
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, hardware_store, gym, pet_store, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store : 63934
Saved path: gym, craft_shop, pet_store, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, tech_shop, cafe, bookstore : 64437
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, gelateria, florist, craft_shop, bookstore, burger_joint : 54548
Saved path: salon, noodle_house, clothing_store, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store, barber_shop : 61271
Saved path: bike_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pet_store, bank, gelateria, pharmacy : 56135
Saved path: tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, pet_store, gym, hardware_store, burger_joint, cafe, dentist : 61017
Saved path: music_store, bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, bank : 58316
Saved path: dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, party_store, bakery, pharmacy, bank, gelateria, craft_shop : 59589
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon : 57327
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, pet_store, bank, gelateria, florist, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store : 70654
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, noodle_house : 65178
Saved path: clothing_store, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, florist, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store : 60319
Saved path: party_store, jewelry_store, bike_shop, music_store, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, bakery : 65793
Saved path: bike_shop, bakery, music_store, bank, pet_store, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, jewelry_store : 62996
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, bank, pharmacy : 59278
Saved path: clothing_store, salon, jewelry_store, party_store, bike_shop, music_store, pet_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store : 63345
Saved path: clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, jewelry_store, bakery, barber_shop, salon, toy_store : 57843
Saved path: burger_joint, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, craft_shop, gym, hardware_store : 61146
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, jewelry_store, bakery, pharmacy, music_store, bank, pet_store : 60170
Saved path: pizzeria, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop : 64359
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, toy_store : 56526
