Saved path: craft_shop, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store : 63375
Saved path: salon, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, party_store, hardware_store, gym, burger_joint, toy_store : 59478
Saved path: bakery, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, cafe, burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store : 61560
Saved path: noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, tech_shop, grocery_store : 57237
Saved path: pizzeria, dentist, bookstore, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, gelateria, music_store, craft_shop : 63544
Saved path: grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop : 59680
Saved path: gelateria, bank, pet_store, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint, bakery, party_store, jewelry_store, bike_shop, gym, florist : 63968
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, craft_shop, pet_store, florist, gelateria, bank : 63294
Saved path: dentist, craft_shop, florist, bank, gelateria, pharmacy, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop : 63622
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store : 57375
Saved path: dentist, pizzeria, pet_store, gelateria, bank, music_store, florist, gym, toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe : 56237
Saved path: salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, burger_joint, gym, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, barber_shop : 60900
Saved path: barber_shop, salon, toy_store, gym, hardware_store, burger_joint, bookstore, dentist, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store : 67399
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym, hardware_store, bakery, barber_shop, salon, toy_store, burger_joint, bookstore, tech_shop : 59544
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, gym, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store : 64160
Saved path: pharmacy, bike_shop, salon, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria : 57550
Saved path: pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, salon, barber_shop, bike_shop, party_store, bakery : 65340
Saved path: grocery_store, noodle_house, toy_store, bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria : 59153
Saved path: cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist : 66679
