Saved path: burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, gym, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store : 48139
Saved path: music_store, gelateria, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy : 60862
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, bank, florist, pet_store : 56477
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store : 58505
Saved path: gelateria, florist, gym, jewelry_store, bakery, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank : 65049
Saved path: bookstore, dentist, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store : 58013
Saved path: toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, florist, music_store, bank, pet_store, gym, bakery, party_store, bike_shop, barber_shop : 66833
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop : 69880
Saved path: hardware_store, gym, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, pharmacy, bakery, bike_shop, barber_shop, noodle_house, toy_store : 61045
Saved path: bank, music_store, pharmacy, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, craft_shop, florist : 56207
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 65702
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, bank, florist : 58838
Saved path: craft_shop, gym, toy_store, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store : 62528
Saved path: bookstore, cafe, tech_shop, noodle_house, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, craft_shop : 61613
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, jewelry_store, gelateria, bank, florist, pet_store : 69154
Saved path: gym, burger_joint, bookstore, clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop : 64628
Saved path: jewelry_store, party_store, bakery, burger_joint, bookstore, noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy : 63098
Saved path: bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, toy_store, noodle_house, barber_shop : 67430
Saved path: pharmacy, party_store, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, florist, bank : 64231
Saved path: craft_shop, pet_store, florist, gelateria, music_store, pharmacy, party_store, jewelry_store, gym, burger_joint, toy_store, clothing_store, cafe, tech_shop, pizzeria : 57907
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, bank, florist, pet_store, craft_shop, burger_joint, cafe, grocery_store, noodle_house, toy_store : 65799
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, hardware_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 69778
Saved path: florist, pet_store, pizzeria, tech_shop, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, pharmacy, music_store, gelateria : 66673
Saved path: cafe, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store : 60610
Saved path: pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, pharmacy, music_store, bank, florist, pet_store : 58144
Saved path: florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, hardware_store, gym : 56097
Saved path: salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop : 67406
Saved path: hardware_store, pharmacy, bank, pet_store, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 66374
Saved path: gym, bookstore, cafe, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, craft_shop : 71940
