Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, dentist, bookstore, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy : 70495
Saved path: gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, music_store, bank : 66145
Saved path: music_store, bank, gelateria, pet_store, gym, bakery, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, cafe, dentist, craft_shop, florist : 57497
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, pharmacy, gelateria, bank, music_store, florist : 53884
Saved path: florist, pet_store, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, party_store, pharmacy, bank : 64163
Saved path: salon, noodle_house, toy_store, burger_joint, cafe, dentist, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, party_store, bakery, hardware_store : 57717
Saved path: barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, gym, hardware_store, party_store, jewelry_store, bike_shop : 59584
Saved path: bike_shop, party_store, jewelry_store, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, gym, florist, music_store, gelateria, bakery : 61793
Saved path: pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, gelateria : 60725
Saved path: barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 65666
Saved path: barber_shop, bakery, party_store, bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store : 61412
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, bakery : 48956
Saved path: dentist, bookstore, burger_joint, gym, craft_shop, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, tech_shop, pizzeria : 62302
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, bookstore, grocery_store : 69237
Saved path: hardware_store, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, gym, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store : 62202
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery, gym, florist, bank, pet_store, pizzeria, dentist : 69502
Saved path: florist, pet_store, gym, hardware_store, cafe, dentist, pizzeria, grocery_store, clothing_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank : 65066
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, gym, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house : 60411
Saved path: burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, salon, toy_store, clothing_store, grocery_store, cafe, bookstore : 51147
Saved path: burger_joint, cafe, grocery_store, tech_shop, pizzeria, pet_store, florist, bank, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, salon, noodle_house : 68259
Saved path: burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, music_store, gelateria, bike_shop, jewelry_store, party_store, bakery, gym : 59620
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, florist, dentist, cafe, burger_joint, bookstore : 54430
Saved path: bakery, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, florist, pharmacy : 42632
Saved path: bakery, party_store, bike_shop, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, music_store, bank, gelateria, pharmacy : 54935
Saved path: grocery_store, clothing_store, salon, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 64949
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, party_store, hardware_store, florist, bank : 69469
Saved path: pet_store, florist, gelateria, pharmacy, bakery, jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, gym : 59172
Saved path: salon, bike_shop, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 61882
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, gelateria, craft_shop, pizzeria, dentist : 60875
Saved path: noodle_house, clothing_store, toy_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, salon : 54603
Saved path: clothing_store, noodle_house, barber_shop, hardware_store, bike_shop, jewelry_store, party_store, bakery, bank, gelateria, craft_shop, pizzeria, cafe, bookstore, burger_joint : 69469
Saved path: craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, hardware_store, gym : 57116
Saved path: pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, bank, music_store : 65839
Saved path: gelateria, music_store, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store : 65691
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe, dentist, craft_shop, gelateria, music_store : 60300
Saved path: noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, bakery, bike_shop, hardware_store, salon : 53306
Saved path: burger_joint, dentist, craft_shop, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 68132
Saved path: tech_shop, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist : 51205
Saved path: pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, party_store, bakery : 50098
Saved path: pizzeria, music_store, bank, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop : 66824
Saved path: florist, bank, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, dentist, pizzeria, craft_shop : 64682
