Saved path: noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 67185
Saved path: cafe, burger_joint, bookstore, music_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 54186
Saved path: dentist, pizzeria, craft_shop, gym, florist, bank, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, bookstore : 68648
Saved path: toy_store, clothing_store, grocery_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, gym, hardware_store, jewelry_store, salon : 63289
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, barber_shop, clothing_store, toy_store, hardware_store, burger_joint, cafe, dentist : 61519
Saved path: pharmacy, bank, florist, pet_store, pizzeria, dentist, clothing_store, tech_shop, cafe, burger_joint, hardware_store, barber_shop, jewelry_store, party_store, bakery : 70977
Saved path: florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, bank : 62389
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, gym, florist, gelateria, pharmacy, bakery, jewelry_store : 58684
Saved path: cafe, tech_shop, grocery_store, toy_store, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, dentist : 60314
Saved path: bookstore, craft_shop, pet_store, bank, gelateria, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint : 62337
Saved path: clothing_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 63139
Saved path: dentist, pizzeria, pet_store, florist, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint, noodle_house, tech_shop, cafe : 65222
Saved path: jewelry_store, music_store, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop : 57595
Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, hardware_store, party_store, bike_shop, gelateria, bank, florist, craft_shop, pizzeria, dentist : 63703
Saved path: clothing_store, noodle_house, salon, barber_shop, hardware_store, jewelry_store, bakery, bank, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store : 68318
Saved path: grocery_store, bookstore, cafe, pizzeria, gym, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 62276
Saved path: party_store, jewelry_store, bike_shop, music_store, florist, craft_shop, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bakery : 55979
Saved path: burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store : 59141
Saved path: dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, grocery_store, pizzeria : 55851
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, hardware_store, pet_store, florist, music_store, gelateria, pharmacy : 51219
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy : 54413
Saved path: bookstore, gym, craft_shop, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist : 67857
Saved path: music_store, bank, gelateria, pet_store, gym, bookstore, dentist, tech_shop, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bakery, pharmacy : 66733
Saved path: burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bike_shop, music_store, bank, florist, gym : 68887
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, pizzeria, pet_store, florist : 59319
Saved path: cafe, dentist, craft_shop, florist, music_store, bank, gelateria, hardware_store, bike_shop, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store : 64424
Saved path: gelateria, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, hardware_store, craft_shop, pet_store : 55516
Saved path: burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, barber_shop, hardware_store, gym : 54027
