Saved path: burger_joint, bookstore, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store : 67469
Saved path: pet_store, bank, gelateria, bakery, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym : 65304
Saved path: pet_store, craft_shop, pizzeria, cafe, burger_joint, gym, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, music_store, bank : 70908
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, craft_shop, music_store, bank, gelateria, pharmacy : 62543
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, bakery, pharmacy, bank : 57949
Saved path: pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, bookstore, dentist, grocery_store, salon, barber_shop, jewelry_store, party_store, bakery : 68079
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 55449
Saved path: bakery, pharmacy, gelateria, bank, music_store, florist, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, salon, hardware_store, party_store : 61354
Saved path: gym, craft_shop, florist, music_store, gelateria, jewelry_store, party_store, barber_shop, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store : 60075
Saved path: craft_shop, pizzeria, dentist, cafe, clothing_store, noodle_house, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, gelateria, bank, music_store : 62336
Saved path: pizzeria, dentist, cafe, burger_joint, clothing_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, gym, craft_shop : 56369
Saved path: bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, toy_store, noodle_house, clothing_store, grocery_store, pizzeria, pet_store, florist, music_store, gelateria : 60044
Saved path: florist, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, hardware_store, gym, pizzeria : 58771
Saved path: bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, pet_store, florist, music_store : 60601
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, pet_store, florist, gelateria, bank, music_store : 61564
Saved path: music_store, gelateria, florist, pet_store, craft_shop, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, hardware_store, party_store, bike_shop, bakery : 55357
Saved path: music_store, pharmacy, bakery, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, pet_store, bank : 66487
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, gelateria, bakery, party_store, barber_shop, toy_store : 56673
Saved path: bookstore, cafe, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store : 58576
Saved path: bakery, hardware_store, gym, florist, bank, pet_store, craft_shop, bookstore, burger_joint, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 59228
Saved path: pet_store, gelateria, music_store, bakery, party_store, jewelry_store, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop : 62125
Saved path: dentist, pizzeria, craft_shop, music_store, gelateria, jewelry_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore : 60192
Saved path: music_store, florist, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, bank : 55166
Saved path: jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, cafe, bookstore, gym, craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop : 54782
Saved path: toy_store, hardware_store, salon, barber_shop, pharmacy, music_store, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house : 48373
Saved path: gym, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store : 54741
Saved path: burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store, hardware_store, gym, toy_store, noodle_house : 60382
Saved path: clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, barber_shop, salon, hardware_store, gym, burger_joint, toy_store : 59665
Saved path: grocery_store, clothing_store, noodle_house, salon, hardware_store, gym, bakery, bike_shop, music_store, gelateria, craft_shop, pizzeria, dentist, burger_joint, bookstore : 52830
Saved path: hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, barber_shop, jewelry_store : 63780
Saved path: barber_shop, salon, noodle_house, dentist, pizzeria, craft_shop, gym, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop : 72055
Saved path: bookstore, burger_joint, dentist, florist, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 58716
Saved path: pet_store, craft_shop, pizzeria, grocery_store, clothing_store, cafe, burger_joint, gym, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist : 62373
Saved path: grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, jewelry_store, gym, hardware_store, salon, clothing_store : 68466
Saved path: bank, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy : 61941
Saved path: party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, bank : 65477
Saved path: barber_shop, noodle_house, toy_store, bookstore, cafe, pizzeria, pet_store, bank, gelateria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop : 72588
Saved path: craft_shop, pet_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 54479
Saved path: party_store, bike_shop, bakery, pharmacy, florist, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store : 50077
Saved path: pet_store, craft_shop, pizzeria, bookstore, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist : 70391
Saved path: noodle_house, salon, barber_shop, hardware_store, bike_shop, jewelry_store, bakery, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore : 71247
Saved path: bakery, jewelry_store, bike_shop, gym, toy_store, clothing_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 65072
Saved path: gelateria, music_store, florist, pet_store, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bike_shop, party_store, pharmacy : 56786
