Saved path: cafe, burger_joint, salon, toy_store, gym, bakery, party_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 64685
Saved path: noodle_house, clothing_store, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 58768
Saved path: bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, salon, noodle_house, burger_joint : 53109
Saved path: florist, craft_shop, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 62902
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, toy_store, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop : 63760
Saved path: barber_shop, noodle_house, grocery_store, cafe, pizzeria, craft_shop, gym, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop : 61661
Saved path: bookstore, burger_joint, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pizzeria, tech_shop, grocery_store : 64755
Saved path: pizzeria, dentist, cafe, bookstore, hardware_store, gym, florist, music_store, jewelry_store, bike_shop, bakery, barber_shop, clothing_store, grocery_store, tech_shop : 60670
Saved path: jewelry_store, party_store, bakery, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, gym, toy_store, salon, barber_shop : 70640
Saved path: jewelry_store, bike_shop, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 63882
Saved path: jewelry_store, music_store, gelateria, pet_store, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery : 61808
Saved path: pharmacy, bank, music_store, florist, pizzeria, gym, hardware_store, bookstore, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery : 68739
Saved path: salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, barber_shop : 54653
Saved path: pet_store, gelateria, bank, music_store, party_store, bike_shop, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 65246
Saved path: pet_store, florist, music_store, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym : 65969
Saved path: bike_shop, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, pet_store, bank, gelateria, florist, gym : 57224
Saved path: clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, bakery, gelateria, bank, florist, craft_shop, gym, burger_joint, cafe, dentist, tech_shop : 65288
Saved path: toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint : 61634
Saved path: bike_shop, party_store, pharmacy, music_store, bank, florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop : 58441
Saved path: party_store, jewelry_store, bike_shop, bakery, toy_store, clothing_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, bank, music_store, pharmacy : 56530
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, gelateria, bank, pet_store, craft_shop, gym, hardware_store : 70858
Saved path: bike_shop, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, grocery_store, clothing_store, barber_shop, jewelry_store : 68209
Saved path: burger_joint, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, bakery, party_store, jewelry_store, bike_shop, gym : 56723
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, burger_joint, cafe, pizzeria : 55990
Saved path: clothing_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, cafe : 58822
Saved path: burger_joint, gym, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe : 68853
Saved path: jewelry_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store : 60446
Saved path: craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, florist, pet_store : 64940
Saved path: bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, salon, jewelry_store, party_store, bike_shop : 67363
Saved path: grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, pharmacy, bank, florist, pizzeria, gym, burger_joint, bookstore, cafe : 66079
Saved path: burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria, pet_store, bank, music_store, pharmacy, bakery, party_store, bike_shop, gym, toy_store : 61812
Saved path: burger_joint, toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, gym : 65872
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store : 59068
