Saved path: hardware_store, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, gym : 56745
Saved path: bookstore, cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, pet_store, craft_shop, gym, hardware_store, burger_joint : 51966
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, gym : 69367
Saved path: florist, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, salon, toy_store, burger_joint, hardware_store, gym : 44740
Saved path: salon, barber_shop, party_store, pharmacy, bank, gelateria, florist, pizzeria, cafe, bookstore, burger_joint, gym, toy_store, clothing_store, noodle_house : 65371
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, gym, hardware_store, bike_shop, bakery, bank, gelateria, florist : 53236
Saved path: hardware_store, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pet_store, bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon : 68568
Saved path: pharmacy, party_store, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank : 65627
Saved path: clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, gym, music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, salon, noodle_house : 54814
Saved path: salon, noodle_house, toy_store, gym, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop : 62275
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pet_store, florist, gelateria, pharmacy : 55749
Saved path: gym, craft_shop, pet_store, music_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 64558
Saved path: bakery, party_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, craft_shop, pet_store, gelateria, music_store : 56165
Saved path: bike_shop, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria : 62842
Saved path: dentist, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, grocery_store : 58733
Saved path: tech_shop, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe : 61010
Saved path: clothing_store, grocery_store, burger_joint, hardware_store, gym, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house : 47435
Saved path: gym, hardware_store, bike_shop, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, burger_joint, bookstore, florist, bank, pet_store : 68683
Saved path: florist, bank, gelateria, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pizzeria : 65470
Saved path: burger_joint, barber_shop, party_store, bakery, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore : 65929
Saved path: bank, music_store, craft_shop, pizzeria, dentist, tech_shop, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria : 68491
Saved path: noodle_house, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, barber_shop, salon : 69557
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, burger_joint, bookstore, dentist, pizzeria : 69590
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store : 61571
Saved path: music_store, florist, pizzeria, dentist, tech_shop, grocery_store, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy : 55302
Saved path: gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, clothing_store, salon, hardware_store : 70707
Saved path: hardware_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, bookstore, cafe, burger_joint : 51807
Saved path: gelateria, bank, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, hardware_store, florist : 68689
Saved path: pet_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop : 66160
Saved path: gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym : 61851
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, salon, noodle_house, burger_joint, bookstore, cafe : 65467
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bike_shop, party_store, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, cafe, bookstore : 68600
Saved path: craft_shop, florist, music_store, pharmacy, bike_shop, jewelry_store, salon, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria : 57310
Saved path: cafe, bookstore, hardware_store, gym, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, dentist : 67060
Saved path: salon, toy_store, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym, party_store, bike_shop, barber_shop : 67896
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, barber_shop, bakery, party_store, pharmacy : 64559
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore : 69512
Saved path: burger_joint, hardware_store, gym, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, cafe : 67386
Saved path: party_store, jewelry_store, bike_shop, music_store, florist, pet_store, pizzeria, tech_shop, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, bakery : 60209
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, clothing_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 68345
Saved path: pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop : 62538
Saved path: party_store, pharmacy, music_store, bank, florist, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop : 64284
Saved path: craft_shop, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, pet_store : 57366
Saved path: bike_shop, pharmacy, music_store, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 55540
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, pet_store, florist, music_store, bank : 62312
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, gym, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, bike_shop, jewelry_store, party_store : 58268
Saved path: grocery_store, tech_shop, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, jewelry_store, party_store, bakery, hardware_store, salon, noodle_house, clothing_store : 51842
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym : 52632
Saved path: pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, bookstore, noodle_house, clothing_store, grocery_store, dentist, craft_shop, florist, gelateria, bank : 60014
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, florist : 56049
