Saved path: tech_shop, grocery_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint : 58386
Saved path: salon, noodle_house, clothing_store, tech_shop, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store : 66860
Saved path: gym, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, pizzeria, dentist, cafe, hardware_store : 64750
Saved path: dentist, craft_shop, pet_store, florist, pharmacy, hardware_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe : 51110
Saved path: grocery_store, noodle_house, salon, barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, florist, pet_store, craft_shop, dentist, burger_joint, cafe : 56759
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bakery, gym, florist : 62429
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, gym, burger_joint : 50883
Saved path: cafe, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, burger_joint, bookstore, noodle_house, grocery_store, tech_shop : 55863
Saved path: bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, craft_shop, dentist, burger_joint, bookstore, grocery_store, salon, hardware_store : 64131
Saved path: burger_joint, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, party_store, bakery, hardware_store, toy_store, clothing_store : 64593
Saved path: tech_shop, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store : 57188
Saved path: gelateria, jewelry_store, party_store, bakery, hardware_store, burger_joint, cafe, grocery_store, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank : 61827
Saved path: craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, bank, pet_store : 61974
Saved path: party_store, jewelry_store, bike_shop, barber_shop, music_store, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, gym, hardware_store, bakery : 63100
Saved path: party_store, jewelry_store, music_store, bank, gelateria, florist, craft_shop, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store : 61029
Saved path: music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, gelateria, bank : 68240
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank : 61240
Saved path: toy_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop : 69387
Saved path: bookstore, burger_joint, gym, pet_store, music_store, bike_shop, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe : 59737
Saved path: gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, gelateria, bank, music_store, craft_shop : 64976
Saved path: cafe, pizzeria, gelateria, bank, pharmacy, party_store, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 66412
Saved path: barber_shop, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, bank, pharmacy, party_store, bike_shop : 65257
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria : 58907
Saved path: dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, grocery_store, cafe : 58128
Saved path: clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 66986
Saved path: toy_store, gym, hardware_store, bike_shop, bakery, gelateria, music_store, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house : 53412
Saved path: florist, pet_store, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 62461
Saved path: party_store, jewelry_store, salon, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, pet_store, gelateria, bank, music_store, pharmacy, bike_shop : 70621
Saved path: pet_store, bank, music_store, pharmacy, jewelry_store, hardware_store, gym, bookstore, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop : 64990
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, music_store, craft_shop, pizzeria, gym : 71996
Saved path: gelateria, barber_shop, party_store, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank : 66889
Saved path: clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, bakery, music_store, gelateria, pet_store, craft_shop, pizzeria, tech_shop, bookstore, burger_joint : 57567
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, bakery, party_store, pharmacy, gelateria, music_store, florist : 51325
Saved path: burger_joint, bookstore, florist, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe : 60540
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, dentist, gym, pet_store, florist, gelateria, bank : 61308
Saved path: cafe, dentist, pizzeria, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, bookstore : 72979
Saved path: salon, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, toy_store : 62454
Saved path: bookstore, gym, craft_shop, florist, gelateria, bank, music_store, bakery, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 53218
Saved path: salon, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop : 66201
Saved path: bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, dentist, craft_shop, pet_store : 65435
Saved path: gym, hardware_store, pharmacy, music_store, bank, gelateria, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint : 54182
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop : 67780
Saved path: bakery, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, pet_store, bank, gelateria, pharmacy : 51735
Saved path: barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, craft_shop, florist, bank, gelateria, bike_shop, party_store : 63358
Saved path: grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop : 60928
Saved path: pharmacy, gelateria, bank, music_store, florist, pet_store, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, salon, toy_store, bakery, bike_shop : 55467
Saved path: clothing_store, salon, barber_shop, bike_shop, party_store, bakery, gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, tech_shop : 65305
Saved path: cafe, clothing_store, grocery_store, dentist, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore : 57128
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, florist, gym, bakery, party_store, jewelry_store, hardware_store, bookstore, cafe, noodle_house, grocery_store : 66174
Saved path: hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy, jewelry_store : 69858
