Saved path: cafe, burger_joint, bookstore, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop : 52398
Saved path: jewelry_store, bike_shop, barber_shop, salon, noodle_house, bookstore, burger_joint, gym, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, party_store : 66310
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, pharmacy, gelateria, bank, music_store, florist : 55411
Saved path: salon, noodle_house, burger_joint, tech_shop, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store : 66743
Saved path: bakery, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, grocery_store, bookstore, hardware_store, toy_store, salon, barber_shop, party_store : 66473
Saved path: bike_shop, jewelry_store, party_store, toy_store, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, music_store, pharmacy : 62047
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, florist, bookstore, burger_joint, hardware_store, bike_shop, bakery : 62268
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, bakery, party_store : 58334
Saved path: grocery_store, bookstore, burger_joint, toy_store, salon, hardware_store, party_store, bike_shop, bakery, bank, music_store, florist, pet_store, dentist, tech_shop : 66108
Saved path: music_store, gelateria, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 63832
Saved path: jewelry_store, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, bakery : 61835
Saved path: burger_joint, toy_store, salon, hardware_store, gym, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, cafe, bookstore : 58848
Saved path: tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, noodle_house : 61366
Saved path: barber_shop, salon, noodle_house, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop : 63228
Saved path: pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, cafe, burger_joint, gym, pet_store, florist, gelateria, bank : 61903
Saved path: music_store, bank, gelateria, florist, pizzeria, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery, party_store, jewelry_store : 66541
Saved path: florist, music_store, bank, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, dentist, cafe, burger_joint, hardware_store, gym : 63011
Saved path: barber_shop, salon, noodle_house, pizzeria, dentist, bookstore, hardware_store, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store : 65807
Saved path: gelateria, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, noodle_house, toy_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 61592
Saved path: gelateria, bakery, party_store, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, bank : 62382
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, bank, party_store : 70065
Saved path: pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store, music_store, bank, pet_store : 68690
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, hardware_store, gym, toy_store, bookstore : 61980
Saved path: dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, gym, toy_store, burger_joint, bookstore : 63703
Saved path: gelateria, pet_store, pizzeria, dentist, grocery_store, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store : 60859
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, music_store, bank : 55643
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, hardware_store, gym, toy_store, salon, noodle_house, burger_joint, bookstore, tech_shop : 65125
Saved path: tech_shop, dentist, pizzeria, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore : 71774
Saved path: salon, jewelry_store, bike_shop, gym, florist, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store, noodle_house, toy_store : 70976
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bakery, hardware_store, florist, music_store, bank, pet_store, pizzeria, dentist, tech_shop : 70039
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, toy_store, salon, noodle_house : 55943
Saved path: noodle_house, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, party_store, bakery, barber_shop : 63763
Saved path: gym, craft_shop, pet_store, bank, music_store, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store : 60349
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, barber_shop, toy_store, hardware_store, burger_joint, grocery_store, tech_shop, dentist, pizzeria : 66328
Saved path: toy_store, gym, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, party_store, jewelry_store, barber_shop, salon, noodle_house : 69350
Saved path: jewelry_store, bike_shop, gym, pet_store, bank, music_store, florist, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, bakery : 67365
