Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, craft_shop, gym, hardware_store, bookstore, cafe, tech_shop : 55956
Saved path: pizzeria, dentist, cafe, burger_joint, tech_shop, clothing_store, salon, bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop : 62246
Saved path: pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 54935
Saved path: bakery, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store : 54088
Saved path: salon, toy_store, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, jewelry_store, bike_shop, bakery, hardware_store : 67675
Saved path: music_store, gelateria, pet_store, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, toy_store, barber_shop, bike_shop, party_store, bakery : 63286
Saved path: bakery, party_store, bike_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, gelateria, bank, pharmacy : 57446
Saved path: gym, pet_store, gelateria, bank, music_store, florist, pizzeria, tech_shop, bookstore, burger_joint, noodle_house, barber_shop, bike_shop, party_store, hardware_store : 69517
Saved path: bike_shop, jewelry_store, bakery, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, bank, gelateria, florist, gym : 70435
Saved path: pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop : 61041
Saved path: bookstore, grocery_store, noodle_house, salon, hardware_store, gym, party_store, jewelry_store, music_store, bank, gelateria, craft_shop, pizzeria, dentist, burger_joint : 68836
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, jewelry_store, bakery, hardware_store, gym, burger_joint, bookstore : 54286
Saved path: dentist, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, grocery_store, tech_shop : 61090
Saved path: tech_shop, clothing_store, cafe, bookstore, burger_joint, toy_store, hardware_store, party_store, jewelry_store, bike_shop, gym, pet_store, bank, florist, pizzeria : 69000
Saved path: barber_shop, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, party_store, bike_shop : 54923
Saved path: pet_store, florist, music_store, gelateria, jewelry_store, bike_shop, bakery, burger_joint, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop : 58031
Saved path: music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, bike_shop, party_store, bakery, pharmacy, gelateria, bank : 55418
Saved path: noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, toy_store : 61250
Saved path: dentist, cafe, bookstore, hardware_store, gym, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, pizzeria : 54765
Saved path: music_store, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, gym, jewelry_store, party_store, pharmacy : 55436
Saved path: party_store, jewelry_store, bike_shop, barber_shop, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, burger_joint, gym, hardware_store, bakery : 61465
Saved path: bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, florist, music_store, bank, gelateria, pharmacy : 53150
Saved path: tech_shop, grocery_store, clothing_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, craft_shop, dentist : 58964
Saved path: toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store, pizzeria, cafe, bookstore, burger_joint, hardware_store : 69314
Saved path: gym, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist : 56128
Saved path: bakery, jewelry_store, barber_shop, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, florist, bank, pharmacy : 65637
Saved path: craft_shop, pet_store, florist, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, pizzeria : 62364
Saved path: tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 59115
Saved path: hardware_store, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, pizzeria, craft_shop, music_store, bank, gelateria, jewelry_store, bike_shop, bakery : 63290
Saved path: barber_shop, bakery, party_store, music_store, bank, gelateria, florist, gym, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store : 64856
Saved path: pet_store, bank, gelateria, jewelry_store, barber_shop, salon, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 67906
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, hardware_store, barber_shop : 62769
Saved path: hardware_store, jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store, gym, bookstore, cafe, grocery_store, toy_store, salon : 64092
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore : 51123
