Saved path: tech_shop, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, clothing_store, cafe : 63327
Saved path: pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bakery, bike_shop, music_store, bank : 58518
Saved path: grocery_store, salon, bike_shop, party_store, bakery, gelateria, music_store, florist, pet_store, gym, bookstore, cafe, dentist, pizzeria, tech_shop : 62564
Saved path: barber_shop, salon, toy_store, hardware_store, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop, party_store, bakery : 65579
Saved path: hardware_store, gym, pizzeria, bank, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, burger_joint : 70314
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store : 56839
Saved path: tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, grocery_store : 62584
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, gelateria, bank, music_store, pizzeria, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store : 70457
Saved path: music_store, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, toy_store, burger_joint, gym, bakery, party_store, jewelry_store, gelateria, bank : 63469
Saved path: salon, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, clothing_store, cafe, bookstore, hardware_store : 67623
Saved path: florist, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank : 65216
Saved path: music_store, gelateria, pet_store, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, bakery : 55001
Saved path: gym, burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, pet_store : 58719
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, gelateria, music_store, craft_shop, dentist, bookstore : 55437
Saved path: dentist, cafe, bookstore, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, clothing_store, tech_shop : 59919
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, craft_shop, florist, gelateria, jewelry_store, bike_shop, bakery, hardware_store, salon, noodle_house, grocery_store : 53919
Saved path: music_store, bank, pharmacy, bakery, party_store, bike_shop, salon, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, pet_store, florist : 62672
Saved path: cafe, dentist, pizzeria, gym, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store : 64811
Saved path: bakery, pharmacy, music_store, gelateria, florist, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, barber_shop, jewelry_store : 56841
Saved path: florist, pet_store, pizzeria, bookstore, burger_joint, noodle_house, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store : 63466
Saved path: party_store, jewelry_store, toy_store, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 64436
Saved path: craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria : 52695
Saved path: salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, music_store, gelateria, craft_shop, pizzeria, cafe, bookstore, clothing_store, toy_store : 64763
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, gym, hardware_store, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop : 56659
Saved path: pet_store, gelateria, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 58835
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store, gelateria, music_store, bakery, party_store, hardware_store : 54416
Saved path: bakery, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, bookstore, dentist, pizzeria, craft_shop, gelateria, bank, music_store, jewelry_store, party_store : 68918
Saved path: gym, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store : 57056
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 57090
Saved path: toy_store, bookstore, burger_joint, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, florist, bank, pet_store, pizzeria, tech_shop, clothing_store : 68422
Saved path: bank, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, gym, toy_store, grocery_store, tech_shop, cafe, bookstore, dentist, florist : 58366
Saved path: gym, cafe, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, jewelry_store, party_store, hardware_store : 65634
Saved path: clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, party_store, toy_store, noodle_house : 62636
Saved path: hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, pet_store, florist, gelateria, bakery, jewelry_store : 60072
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, bakery, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, grocery_store : 49003
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, gelateria, bank : 69024
Saved path: clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, barber_shop, toy_store, noodle_house : 68674
Saved path: party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy : 60471
Saved path: grocery_store, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, gym, jewelry_store, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 69067
Saved path: pet_store, bank, music_store, bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop : 60232
Saved path: barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store : 68974
Saved path: dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop : 66640
Saved path: bookstore, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, pet_store : 60804
Saved path: party_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, gym, pizzeria, dentist, cafe, tech_shop, clothing_store, salon, jewelry_store : 71784
Saved path: cafe, burger_joint, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, pet_store, gym, craft_shop, pizzeria, dentist : 60698
Saved path: cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, jewelry_store, bike_shop, barber_shop, toy_store, gym, burger_joint, bookstore : 64988
Saved path: music_store, gelateria, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, jewelry_store, party_store, bike_shop, pharmacy : 61793
Saved path: toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, jewelry_store, salon : 63866
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore, tech_shop, toy_store : 59414
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, bank, music_store, jewelry_store : 68064
Saved path: burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, toy_store, clothing_store, grocery_store, bookstore : 64621
Saved path: burger_joint, bookstore, pizzeria, craft_shop, pet_store, bank, pharmacy, bike_shop, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store : 70541
Saved path: noodle_house, toy_store, barber_shop, bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store : 54881
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, pet_store, gelateria, music_store, pharmacy : 55553
Saved path: dentist, pizzeria, craft_shop, gym, party_store, pharmacy, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe : 49992
Saved path: grocery_store, noodle_house, burger_joint, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop : 62492
