Saved path: dentist, cafe, gym, hardware_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria : 65156
Saved path: barber_shop, noodle_house, toy_store, bookstore, cafe, burger_joint, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, bakery, party_store : 61737
Saved path: music_store, bank, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, clothing_store, grocery_store, burger_joint, hardware_store, gym, pizzeria, craft_shop : 68551
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, pet_store, florist : 52599
Saved path: noodle_house, toy_store, hardware_store, bookstore, cafe, dentist, pet_store, florist, bank, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 70553
Saved path: pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, jewelry_store, music_store, bank, gelateria, florist : 66774
Saved path: noodle_house, clothing_store, grocery_store, pizzeria, craft_shop, gym, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop : 61232
Saved path: jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, pet_store, pharmacy, bakery : 54870
Saved path: pet_store, pizzeria, dentist, cafe, tech_shop, noodle_house, bookstore, burger_joint, gym, bike_shop, jewelry_store, pharmacy, bank, music_store, florist : 68956
Saved path: party_store, jewelry_store, bakery, barber_shop, clothing_store, grocery_store, tech_shop, cafe, burger_joint, bookstore, pet_store, bank, florist, craft_shop, hardware_store : 65940
Saved path: grocery_store, tech_shop, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 65201
Saved path: cafe, tech_shop, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 57193
Saved path: music_store, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store : 59790
Saved path: toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, craft_shop, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, hardware_store : 55308
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, tech_shop, pizzeria, craft_shop, florist, music_store, bank, pharmacy, bakery : 53979
Saved path: bakery, bike_shop, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, dentist, pet_store, florist, gelateria : 55953
Saved path: hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, florist, music_store, bank, gelateria, jewelry_store, party_store, bakery : 55824
Saved path: bakery, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, music_store : 56844
