Saved path: florist, bank, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store : 71556
Saved path: music_store, florist, craft_shop, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, pharmacy, bank : 56570
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, grocery_store, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery : 59509
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pet_store, gym, bike_shop, party_store, barber_shop, toy_store, bookstore, cafe : 61732
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store : 59587
Saved path: dentist, bookstore, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, bakery, bank, florist, pet_store, craft_shop, pizzeria : 61707
Saved path: tech_shop, bookstore, dentist, pizzeria, craft_shop, music_store, bank, gelateria, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 62327
Saved path: hardware_store, gym, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bike_shop : 56927
Saved path: pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, cafe, hardware_store, gym, craft_shop : 63672
Saved path: pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, hardware_store, salon, clothing_store, grocery_store, burger_joint, cafe, tech_shop : 55974
Saved path: bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, salon, noodle_house, bookstore, burger_joint, gym, party_store, pharmacy : 67101
Saved path: pharmacy, party_store, bike_shop, gym, burger_joint, toy_store, salon, grocery_store, cafe, pizzeria, craft_shop, pet_store, florist, bank, gelateria : 67378
Saved path: bank, pet_store, craft_shop, pizzeria, tech_shop, bookstore, clothing_store, barber_shop, bakery, party_store, jewelry_store, bike_shop, gym, florist, gelateria : 71423
Saved path: music_store, pizzeria, cafe, bookstore, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank : 65346
Saved path: salon, barber_shop, jewelry_store, bakery, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store : 68312
Saved path: noodle_house, clothing_store, bookstore, burger_joint, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, salon : 67630
Saved path: bookstore, burger_joint, noodle_house, salon, hardware_store, gym, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist : 60029
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, pet_store, gym, hardware_store, dentist, pizzeria, tech_shop : 69166
Saved path: gelateria, pharmacy, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint, bookstore, clothing_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank : 68405
Saved path: pizzeria, dentist, burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, bank, florist : 68414
Saved path: pet_store, gelateria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, grocery_store, tech_shop, bookstore, dentist : 62326
Saved path: music_store, jewelry_store, bike_shop, bakery, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, gym, pet_store, florist, bank : 59516
Saved path: burger_joint, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, bike_shop, bakery, gym : 58398
Saved path: pet_store, pizzeria, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy, music_store, bank : 60196
