Saved path: burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist : 62525
Saved path: hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, florist, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store : 52227
Saved path: dentist, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, music_store, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore : 63585
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, cafe : 59890
Saved path: bike_shop, bakery, pharmacy, bank, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, burger_joint, gym, hardware_store, party_store : 62922
Saved path: music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore, cafe, clothing_store, dentist, pizzeria, craft_shop, gelateria, bank : 56854
Saved path: gym, hardware_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, dentist, pizzeria, florist, music_store, gelateria, pet_store : 56929
Saved path: salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, toy_store : 74104
Saved path: pizzeria, craft_shop, gym, florist, bank, pharmacy, party_store, bike_shop, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, tech_shop : 65689
Saved path: clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, hardware_store, salon : 65181
Saved path: barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, pet_store, gym, bookstore, cafe, dentist, tech_shop, noodle_house, toy_store, salon : 71219
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, gym, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store : 69583
Saved path: hardware_store, salon, noodle_house, clothing_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, gym : 66798
Saved path: gym, burger_joint, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop : 56972
Saved path: cafe, burger_joint, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store : 45680
Saved path: cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, bike_shop, pharmacy, music_store, florist, craft_shop, gym, burger_joint, bookstore : 47640
Saved path: pet_store, gym, hardware_store, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, florist : 68825
