Saved path: bank, gelateria, party_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store : 63470
Saved path: bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy, bakery, party_store : 58899
Saved path: salon, toy_store, hardware_store, party_store, bike_shop, music_store, bank, florist, pet_store, craft_shop, gym, tech_shop, grocery_store, clothing_store, noodle_house : 62770
Saved path: dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, clothing_store, tech_shop : 68488
Saved path: bakery, party_store, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, salon, toy_store, gym, florist, gelateria, pharmacy : 51710
Saved path: clothing_store, cafe, tech_shop, pizzeria, florist, music_store, gelateria, pet_store, gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, toy_store : 63091
Saved path: gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, dentist, pizzeria, gelateria, bank, music_store, bakery, jewelry_store, bike_shop, hardware_store : 63759
Saved path: noodle_house, salon, toy_store, gym, hardware_store, party_store, jewelry_store, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore : 68971
Saved path: burger_joint, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, jewelry_store, bike_shop, gym : 67243
Saved path: clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, gelateria, jewelry_store, barber_shop, salon, toy_store : 63688
Saved path: clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house : 61253
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, party_store, jewelry_store, barber_shop, toy_store, burger_joint, bookstore : 66767
Saved path: jewelry_store, party_store, bank, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, tech_shop, noodle_house, salon, barber_shop, bike_shop : 69767
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop, clothing_store, dentist, pizzeria : 55192
Saved path: clothing_store, noodle_house, barber_shop, bakery, party_store, music_store, gelateria, craft_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, toy_store : 58685
Saved path: gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist : 61802
Saved path: grocery_store, tech_shop, pizzeria, florist, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, cafe : 59140
