Saved path: jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store, music_store : 63561
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, music_store, gelateria, pharmacy, bakery, hardware_store, salon : 46824
Saved path: craft_shop, pet_store, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, tech_shop, dentist : 57875
Saved path: bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, florist, gym : 62999
Saved path: barber_shop, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, bike_shop, jewelry_store : 69128
Saved path: grocery_store, clothing_store, toy_store, burger_joint, bakery, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop : 54093
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, bookstore, cafe : 57349
Saved path: hardware_store, florist, music_store, bank, pet_store, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, bike_shop : 59017
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, barber_shop, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, gym, hardware_store : 58182
Saved path: toy_store, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, party_store, jewelry_store, salon : 67643
Saved path: music_store, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, toy_store, barber_shop, bakery, party_store, hardware_store, gym : 58260
Saved path: noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, florist, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, toy_store : 52684
Saved path: pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, tech_shop : 64545
