Saved path: florist, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, dentist, pizzeria, pet_store : 48589
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, bakery, pharmacy, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, tech_shop : 62614
Saved path: dentist, craft_shop, florist, music_store, bank, gelateria, pet_store, gym, bakery, bike_shop, party_store, jewelry_store, salon, grocery_store, tech_shop : 68080
Saved path: bookstore, gym, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 49807
Saved path: pizzeria, dentist, tech_shop, grocery_store, bookstore, hardware_store, salon, barber_shop, jewelry_store, bike_shop, bakery, bank, florist, pet_store, craft_shop : 73267
Saved path: gelateria, bank, florist, gym, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 63242
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, pet_store, bank, gelateria, bakery : 70783
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pet_store, bank, gelateria, jewelry_store, party_store, bike_shop, gym : 69185
Saved path: bakery, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 52887
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, craft_shop, bookstore : 49550
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe : 58252
Saved path: hardware_store, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, florist, craft_shop, gym : 63448
Saved path: party_store, jewelry_store, bakery, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, gym, hardware_store : 62098
Saved path: cafe, burger_joint, hardware_store, gym, florist, gelateria, bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist : 55799
Saved path: party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon : 56138
