Saved path: clothing_store, noodle_house, salon, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria : 57068
Saved path: bike_shop, jewelry_store, bakery, gelateria, bank, florist, pet_store, pizzeria, dentist, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop : 71702
Saved path: pharmacy, music_store, bank, gelateria, pet_store, dentist, tech_shop, clothing_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, jewelry_store, bike_shop : 70514
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, gym : 56549
Saved path: pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym : 70482
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, pet_store, gym, hardware_store, bookstore, dentist, pizzeria, tech_shop : 74996
Saved path: bank, music_store, jewelry_store, party_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, craft_shop, pet_store, gelateria : 64974
Saved path: burger_joint, cafe, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, hardware_store : 61598
Saved path: gym, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore : 62817
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, bank, music_store, gym, hardware_store, toy_store, noodle_house, clothing_store, grocery_store : 49670
Saved path: toy_store, hardware_store, gym, bookstore, cafe, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, noodle_house : 64665
Saved path: toy_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, gym, burger_joint : 55555
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, bank, pharmacy, bakery, jewelry_store, hardware_store, salon : 68241
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, florist, music_store, gelateria, bakery, barber_shop, salon : 50929
Saved path: grocery_store, tech_shop, cafe, burger_joint, gym, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, toy_store, noodle_house, clothing_store : 54928
Saved path: jewelry_store, bike_shop, barber_shop, salon, hardware_store, toy_store, noodle_house, tech_shop, cafe, bookstore, pet_store, bank, music_store, pharmacy, bakery : 66105
Saved path: bookstore, burger_joint, gym, hardware_store, jewelry_store, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe : 60420
Saved path: music_store, gelateria, florist, pet_store, gym, pizzeria, dentist, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy : 62457
Saved path: florist, bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, pet_store, gelateria, music_store : 64021
Saved path: burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, florist, music_store, gelateria, bike_shop, party_store, bakery, gym : 56309
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, music_store : 59620
Saved path: pharmacy, music_store, florist, pet_store, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store : 57850
Saved path: noodle_house, clothing_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, hardware_store, bakery, bike_shop, barber_shop : 61018
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store : 64760
Saved path: dentist, craft_shop, pet_store, bank, florist, gym, bike_shop, jewelry_store, bakery, barber_shop, salon, burger_joint, bookstore, cafe, tech_shop : 70015
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, clothing_store, grocery_store, tech_shop, cafe, burger_joint : 56830
Saved path: gelateria, gym, hardware_store, jewelry_store, bike_shop, barber_shop, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 70163
Saved path: gelateria, bank, music_store, pharmacy, bakery, bike_shop, hardware_store, gym, noodle_house, clothing_store, cafe, dentist, pizzeria, pet_store, florist : 57559
Saved path: bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 66133
Saved path: noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store : 55423
Saved path: pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, burger_joint, pet_store, florist, gelateria, bank : 63552
Saved path: clothing_store, noodle_house, salon, bakery, party_store, gelateria, music_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store : 56448
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, burger_joint, gym, craft_shop, florist, bank, pharmacy, bakery, bike_shop, jewelry_store : 59730
Saved path: bank, music_store, florist, pet_store, gym, burger_joint, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 65788
Saved path: bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, tech_shop : 63560
Saved path: music_store, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pet_store, florist : 62315
Saved path: bank, music_store, jewelry_store, party_store, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria : 64543
Saved path: bakery, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, bank, music_store : 61683
Saved path: dentist, pizzeria, florist, gelateria, music_store, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, cafe : 61075
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, music_store, florist : 60033
Saved path: cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, hardware_store, burger_joint : 48753
Saved path: cafe, dentist, grocery_store, clothing_store, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, florist, gym, burger_joint : 63129
Saved path: clothing_store, noodle_house, burger_joint, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, bookstore, cafe, tech_shop, grocery_store : 55340
