Saved path: bank, music_store, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, tech_shop, dentist, pizzeria, pet_store : 71332
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, bank, bakery : 60043
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, gym, hardware_store, party_store, barber_shop, toy_store, clothing_store, grocery_store : 66452
Saved path: gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, bike_shop, gelateria, bank, music_store : 57619
Saved path: gelateria, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, bakery : 58207
Saved path: noodle_house, grocery_store, tech_shop, dentist, pizzeria, florist, music_store, bank, gelateria, pet_store, bookstore, burger_joint, hardware_store, barber_shop, toy_store : 61863
Saved path: florist, gelateria, music_store, bike_shop, party_store, bakery, hardware_store, gym, toy_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store : 55554
Saved path: gym, florist, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store : 57875
Saved path: barber_shop, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store : 51649
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gym, music_store, bank : 71823
Saved path: florist, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, gym, hardware_store, party_store, jewelry_store, pharmacy, gelateria : 59139
Saved path: burger_joint, cafe, dentist, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, gym : 58339
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery : 62922
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, gelateria, music_store : 57316
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, florist, gelateria, bank, music_store : 65287
Saved path: dentist, pet_store, gelateria, florist, gym, hardware_store, bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe : 59866
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, bank, gelateria, bike_shop, party_store, jewelry_store, salon : 69635
Saved path: salon, barber_shop, bakery, party_store, bike_shop, gelateria, music_store, florist, pet_store, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 58216
Saved path: florist, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, hardware_store, gym, pizzeria, craft_shop, pet_store : 65091
Saved path: clothing_store, toy_store, salon, hardware_store, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, dentist, cafe, bookstore, tech_shop : 63244
Saved path: salon, noodle_house, clothing_store, bookstore, cafe, dentist, florist, bank, music_store, pharmacy, jewelry_store, party_store, hardware_store, gym, toy_store : 65494
Saved path: gelateria, florist, pet_store, dentist, cafe, tech_shop, noodle_house, bookstore, burger_joint, hardware_store, party_store, bakery, pharmacy, music_store, bank : 59486
Saved path: gym, burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop : 51924
Saved path: burger_joint, hardware_store, gym, craft_shop, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist : 57241
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop : 62865
Saved path: cafe, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, jewelry_store, bakery, bank, pet_store, dentist : 68713
Saved path: party_store, bike_shop, barber_shop, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, pet_store, music_store, pharmacy, bakery : 60666
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, jewelry_store, bakery, hardware_store, gym, toy_store, salon, noodle_house, grocery_store, cafe, tech_shop : 66094
Saved path: gym, hardware_store, bike_shop, pharmacy, bank, gelateria, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store : 57412
Saved path: bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, pet_store, bank, gelateria, florist, gym, bakery, party_store, jewelry_store : 66455
Saved path: music_store, florist, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, party_store, pharmacy, gelateria, bank : 62164
Saved path: clothing_store, bookstore, tech_shop, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house : 56046
Saved path: bike_shop, party_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, music_store : 59104
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, party_store, bike_shop, gelateria, bank, pet_store : 66632
Saved path: bike_shop, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist, pizzeria, pet_store, florist, music_store : 58170
Saved path: bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, gym, craft_shop, pizzeria, dentist : 54142
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house : 67013
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, clothing_store, cafe, dentist, florist, gelateria, bank, music_store, pharmacy : 64779
Saved path: noodle_house, toy_store, burger_joint, gym, bike_shop, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store : 56557
Saved path: party_store, bank, music_store, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store : 67418
Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, gym, hardware_store : 57680
Saved path: burger_joint, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, bakery, party_store, hardware_store : 63146
Saved path: craft_shop, gym, hardware_store, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 58676
Saved path: jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, salon, bookstore, burger_joint, gym, hardware_store : 66488
Saved path: burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, gym : 57112
Saved path: music_store, gelateria, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bakery, bike_shop, jewelry_store : 58879
Saved path: burger_joint, cafe, bookstore, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store, gym, hardware_store : 66004
Saved path: pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop : 66407
Saved path: gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist : 57683
Saved path: music_store, florist, pet_store, gym, burger_joint, cafe, dentist, clothing_store, toy_store, salon, jewelry_store, bike_shop, bakery, gelateria, bank : 67444
Saved path: hardware_store, jewelry_store, bakery, music_store, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store : 63664
Saved path: craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, clothing_store, hardware_store, gym, pizzeria : 65445
Saved path: bank, gelateria, pet_store, craft_shop, gym, burger_joint, dentist, clothing_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store : 66807
Saved path: noodle_house, clothing_store, cafe, pizzeria, craft_shop, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, salon : 66404
Saved path: dentist, bookstore, burger_joint, hardware_store, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 62651
Saved path: pet_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria : 56459
Saved path: bank, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store : 69078
Saved path: gelateria, pharmacy, bakery, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, pet_store, florist, music_store, bank : 54278
