Saved path: bike_shop, party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, florist, gym : 59372
Saved path: dentist, pizzeria, craft_shop, florist, bank, bakery, bike_shop, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe : 58822
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, florist, pharmacy, bakery : 59047
Saved path: burger_joint, bookstore, tech_shop, dentist, pizzeria, pet_store, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store : 63075
Saved path: burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe : 56199
Saved path: noodle_house, grocery_store, tech_shop, cafe, gym, pet_store, florist, bank, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, toy_store : 65559
Saved path: toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, tech_shop, cafe, gym, hardware_store : 62356
Saved path: bookstore, dentist, clothing_store, noodle_house, salon, hardware_store, party_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint : 65351
Saved path: grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 61870
Saved path: jewelry_store, party_store, bakery, gym, hardware_store, salon, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, music_store, bike_shop : 60546
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, craft_shop : 65706
Saved path: grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, music_store, gelateria, pharmacy, party_store, jewelry_store, hardware_store, toy_store, noodle_house : 55321
Saved path: pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, bakery, gelateria, bank, florist : 60269
Saved path: gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, jewelry_store, music_store, bank : 65810
Saved path: dentist, pizzeria, craft_shop, florist, music_store, pharmacy, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore : 57105
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 69489
Saved path: pet_store, florist, bank, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, craft_shop : 65741
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, bank, gelateria, florist, pet_store, gym, burger_joint, dentist : 64033
Saved path: pet_store, florist, bank, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop : 67073
Saved path: bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, bike_shop, jewelry_store, party_store : 62467
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, florist, pharmacy, bakery, party_store, barber_shop, salon, toy_store, clothing_store, pizzeria, dentist : 59700
Saved path: florist, craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 58518
Saved path: bakery, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, gelateria, jewelry_store, bike_shop : 69947
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house : 50712
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, bank : 57702
Saved path: toy_store, hardware_store, party_store, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, noodle_house, salon : 60852
Saved path: tech_shop, dentist, hardware_store, gym, craft_shop, pet_store, florist, music_store, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house : 69962
Saved path: barber_shop, salon, toy_store, gym, cafe, dentist, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop : 64291
Saved path: pizzeria, craft_shop, pet_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, grocery_store, bookstore, hardware_store, gym : 65190
Saved path: noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store : 61766
Saved path: barber_shop, bakery, party_store, bank, music_store, craft_shop, dentist, grocery_store, tech_shop, cafe, bookstore, hardware_store, toy_store, noodle_house, salon : 64569
Saved path: burger_joint, bookstore, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe : 60762
Saved path: party_store, bike_shop, gelateria, bank, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, bakery : 65835
Saved path: tech_shop, cafe, bookstore, hardware_store, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store : 55626
