Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store : 54390
Saved path: noodle_house, clothing_store, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, gym, burger_joint, cafe, bookstore : 62830
Saved path: jewelry_store, salon, toy_store, clothing_store, pizzeria, dentist, cafe, bookstore, burger_joint, gym, gelateria, music_store, pharmacy, bakery, party_store : 60844
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, florist, gelateria, bank, music_store : 62200
Saved path: toy_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon : 58595
Saved path: hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon : 71315
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, hardware_store, toy_store, noodle_house : 60519
Saved path: jewelry_store, barber_shop, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, party_store : 63123
Saved path: gelateria, pet_store, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, pharmacy, music_store, bank : 53753
Saved path: pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop, gelateria : 54460
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop : 65445
Saved path: grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, pet_store, gelateria, music_store, pharmacy, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 62451
Saved path: music_store, pharmacy, bakery, jewelry_store, salon, clothing_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank : 69756
Saved path: bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, toy_store, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store : 61976
Saved path: bank, music_store, florist, hardware_store, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria : 58808
Saved path: salon, noodle_house, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, gelateria, bakery, barber_shop : 55226
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, gym, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank : 58412
Saved path: florist, pet_store, gym, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 60825
Saved path: bakery, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, pharmacy : 52573
Saved path: hardware_store, party_store, bike_shop, bakery, music_store, bank, gelateria, pet_store, dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store : 60893
Saved path: noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, party_store, bike_shop, music_store, bank, pet_store, gym, toy_store, salon : 68009
Saved path: tech_shop, clothing_store, noodle_house, toy_store, gym, bakery, jewelry_store, bike_shop, music_store, florist, pet_store, craft_shop, dentist, burger_joint, bookstore : 57726
Saved path: noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, bank, pharmacy, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon : 67513
Saved path: jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pet_store, music_store, bakery, party_store : 59115
Saved path: bike_shop, jewelry_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pet_store, gelateria, florist, craft_shop, gym, hardware_store : 57211
Saved path: barber_shop, noodle_house, toy_store, hardware_store, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop : 52320
Saved path: salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, gelateria, dentist, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store : 56268
Saved path: pizzeria, clothing_store, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store : 64952
Saved path: barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, hardware_store, party_store, jewelry_store : 46139
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, party_store, gelateria, florist, pet_store, pizzeria, dentist : 59166
Saved path: dentist, cafe, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, party_store, hardware_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop : 60890
Saved path: burger_joint, bookstore, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, florist, pet_store, gym, hardware_store : 63103
Saved path: gelateria, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, toy_store, bakery, bike_shop : 60754
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 59548
Saved path: music_store, gelateria, florist, pet_store, pizzeria, tech_shop, clothing_store, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, pharmacy : 57935
Saved path: hardware_store, gym, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, pet_store, dentist, cafe, burger_joint : 61514
Saved path: barber_shop, toy_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, florist, bank, pharmacy, bakery, jewelry_store : 64963
