Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, hardware_store, pharmacy, music_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store : 59666
Saved path: music_store, bank, pharmacy, bakery, bike_shop, barber_shop, toy_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop : 58771
Saved path: bike_shop, party_store, pharmacy, bank, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, grocery_store, noodle_house, barber_shop : 67740
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 57583
Saved path: bank, music_store, pharmacy, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 65970
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, gym, bookstore, cafe, tech_shop : 51973
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, barber_shop, bakery, pharmacy, music_store, gelateria, pet_store, gym, burger_joint : 53376
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, pet_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, barber_shop : 67953
Saved path: party_store, bike_shop, barber_shop, salon, hardware_store, toy_store, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery : 68537
Saved path: noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, gym, pet_store, florist, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store : 62375
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, music_store, bank, pet_store, craft_shop, gym, hardware_store, bookstore : 62136
Saved path: dentist, cafe, burger_joint, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, party_store, hardware_store, florist, bank, pet_store, craft_shop, pizzeria : 71348
Saved path: gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, music_store, bank : 70313
Saved path: bike_shop, bakery, pharmacy, bank, music_store, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 63800
Saved path: bank, pharmacy, hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, pet_store, florist : 70557
Saved path: barber_shop, salon, noodle_house, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store : 63987
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bakery, bank, music_store, florist, dentist, cafe : 60211
Saved path: party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, burger_joint, bookstore, grocery_store, noodle_house, salon, hardware_store, gym : 61473
Saved path: gym, craft_shop, music_store, bank, gelateria, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store : 69933
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, burger_joint : 64450
Saved path: jewelry_store, pharmacy, florist, pet_store, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop : 61348
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, jewelry_store, music_store, florist, pet_store, pizzeria, dentist, burger_joint, bookstore, tech_shop : 63031
Saved path: bakery, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, music_store, pharmacy : 51010
Saved path: gelateria, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, bookstore, tech_shop, pizzeria, craft_shop, pet_store : 61667
Saved path: jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, florist, bank, music_store, pharmacy : 64220
Saved path: florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, toy_store, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store : 71156
Saved path: hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, florist, pharmacy, bakery, barber_shop, salon, noodle_house, toy_store : 48417
Saved path: bakery, barber_shop, noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, florist, gym, hardware_store, jewelry_store : 58480
Saved path: burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, hardware_store, gym : 71382
Saved path: gym, hardware_store, bakery, bike_shop, barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, dentist, florist, music_store, gelateria, pet_store : 55696
Saved path: craft_shop, pizzeria, dentist, bookstore, grocery_store, noodle_house, toy_store, bakery, party_store, hardware_store, gym, florist, music_store, bank, pet_store : 63306
Saved path: pet_store, florist, bank, gelateria, pharmacy, party_store, barber_shop, salon, toy_store, hardware_store, gym, burger_joint, dentist, pizzeria, craft_shop : 68265
Saved path: craft_shop, bank, music_store, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 70088
Saved path: burger_joint, gym, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, pizzeria, dentist, cafe, bookstore : 69538
Saved path: bike_shop, barber_shop, salon, clothing_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 62609
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, music_store, bank, pharmacy, bakery, party_store, barber_shop, toy_store : 57828
Saved path: barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, craft_shop, florist, music_store, bank, gelateria, bike_shop, bakery : 59464
Saved path: florist, music_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, pet_store : 64840
Saved path: party_store, jewelry_store, bakery, gelateria, bank, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, hardware_store : 68481
Saved path: bookstore, cafe, dentist, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, gelateria, music_store, florist, pet_store, hardware_store, burger_joint : 54197
Saved path: grocery_store, bookstore, burger_joint, cafe, pizzeria, florist, music_store, bank, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house : 65135
Saved path: gym, toy_store, salon, noodle_house, clothing_store, tech_shop, cafe, dentist, pet_store, florist, music_store, bike_shop, jewelry_store, party_store, hardware_store : 61449
Saved path: party_store, bike_shop, barber_shop, pharmacy, bank, florist, pet_store, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store : 67824
Saved path: cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, craft_shop, pizzeria, tech_shop : 56715
Saved path: grocery_store, tech_shop, dentist, pet_store, florist, music_store, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint, bookstore, clothing_store : 61904
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, music_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop : 65943
Saved path: cafe, bookstore, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, pet_store, gym, craft_shop, pizzeria : 62277
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, dentist : 62200
Saved path: florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, pet_store : 56353
Saved path: tech_shop, grocery_store, clothing_store, cafe, burger_joint, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist : 51780
Saved path: gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery : 61819
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, gelateria, pharmacy, bakery, bike_shop, salon : 50282
Saved path: jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, barber_shop : 72155
Saved path: burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, gym, toy_store : 61868
Saved path: grocery_store, clothing_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, bookstore : 54548
Saved path: gym, craft_shop, pet_store, bank, music_store, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, cafe, hardware_store : 60960
Saved path: toy_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, pizzeria, craft_shop, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop : 69716
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, gym, burger_joint, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy : 62361
Saved path: bookstore, burger_joint, hardware_store, gym, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 61888
Saved path: burger_joint, gym, craft_shop, pet_store, bank, music_store, pharmacy, bike_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 60588
Saved path: party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, burger_joint, cafe, dentist, pet_store, bank, music_store, pharmacy : 67157
Saved path: florist, gym, hardware_store, bike_shop, jewelry_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, dentist, pizzeria, pet_store : 61762
Saved path: bakery, pharmacy, music_store, bank, gelateria, craft_shop, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, bike_shop : 54379
Saved path: pizzeria, dentist, burger_joint, gym, pet_store, florist, bank, pharmacy, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 67503
Saved path: grocery_store, clothing_store, noodle_house, salon, gym, bakery, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 58520
Saved path: toy_store, gym, bike_shop, bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, salon : 59021
Saved path: barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, bank, pharmacy, bakery, jewelry_store, bike_shop : 66866
Saved path: florist, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop : 59802
Saved path: clothing_store, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, dentist, grocery_store : 58733
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, gym, pizzeria, pet_store, gelateria : 69351
Saved path: cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, pet_store, craft_shop, pizzeria, dentist : 58560
Saved path: clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, bank, gelateria, hardware_store, party_store, bike_shop, bakery, barber_shop, salon, noodle_house : 63500
Saved path: barber_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store : 57164
Saved path: gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, bank, craft_shop : 60876
Saved path: bakery, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, clothing_store, bookstore, burger_joint, hardware_store, salon, barber_shop, party_store : 66635
