Saved path: bakery, barber_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, dentist, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 61026
Saved path: bike_shop, hardware_store, gym, florist, pet_store, pizzeria, grocery_store, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery, jewelry_store : 62076
Saved path: toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, florist, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, gym : 65051
Saved path: gelateria, pharmacy, hardware_store, burger_joint, bookstore, grocery_store, noodle_house, salon, toy_store, gym, craft_shop, pet_store, florist, music_store, bank : 52304
Saved path: burger_joint, bookstore, grocery_store, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store : 70851
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, burger_joint, gym, pet_store, gelateria, music_store, pharmacy : 62703
Saved path: bakery, pharmacy, music_store, bank, pet_store, pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store : 67707
Saved path: hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, bookstore, grocery_store, noodle_house, toy_store : 67626
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, hardware_store, gym, florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint : 58975
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, craft_shop, gym : 58925
Saved path: music_store, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 54870
Saved path: party_store, jewelry_store, bike_shop, barber_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, noodle_house, burger_joint, hardware_store, bakery : 65300
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, party_store, bakery : 65789
Saved path: bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, burger_joint : 67438
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store : 59129
Saved path: dentist, tech_shop, cafe, bookstore, toy_store, salon, bakery, party_store, bike_shop, gym, florist, bank, pet_store, craft_shop, pizzeria : 69248
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, barber_shop, bakery, party_store, hardware_store, toy_store, clothing_store, bookstore, cafe : 60477
Saved path: gelateria, bank, music_store, florist, pet_store, dentist, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, bike_shop, bakery : 63293
Saved path: music_store, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, party_store, bakery, pharmacy : 58129
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store : 64745
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, florist, gelateria, pharmacy : 56848
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, gym, pizzeria, pet_store, gelateria, music_store, pharmacy : 62925
Saved path: grocery_store, clothing_store, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop : 58283
Saved path: pizzeria, dentist, grocery_store, bookstore, burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop : 66394
Saved path: pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, burger_joint, gym : 69056
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, cafe, tech_shop : 67450
Saved path: cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria : 60725
Saved path: bakery, pharmacy, music_store, florist, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop : 50453
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bakery, pharmacy, bank : 57477
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, bookstore, toy_store, barber_shop, jewelry_store, party_store, bakery, gym : 72061
Saved path: bank, florist, craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, gym, party_store, jewelry_store, music_store : 62535
Saved path: barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, pet_store, bank, music_store, party_store, jewelry_store : 68980
Saved path: gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, bike_shop, pharmacy, music_store, bank : 61741
Saved path: music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, bakery, bike_shop, barber_shop : 59742
Saved path: bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, clothing_store, dentist, pizzeria, pet_store, gelateria : 67320
Saved path: bakery, music_store, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop, jewelry_store : 60653
Saved path: pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, cafe, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, gelateria, florist : 64770
Saved path: craft_shop, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, pizzeria : 57841
Saved path: gym, hardware_store, bookstore, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, pharmacy, gelateria, bank, pet_store, craft_shop : 63955
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, party_store, bike_shop, gym, burger_joint, salon, noodle_house : 66528
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bank, pet_store, craft_shop, gym, hardware_store : 68083
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank : 65622
Saved path: pet_store, florist, gelateria, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, tech_shop, cafe, hardware_store, gym, craft_shop : 66408
Saved path: florist, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store : 58735
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, gym, cafe, noodle_house : 51276
Saved path: music_store, jewelry_store, party_store, bakery, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank : 60860
Saved path: hardware_store, party_store, bakery, pharmacy, pet_store, gym, toy_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint : 56646
Saved path: clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, florist, bank, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house : 66172
Saved path: pet_store, gelateria, gym, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, cafe, dentist, pizzeria : 63016
Saved path: tech_shop, dentist, cafe, bookstore, hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, party_store, bike_shop, barber_shop, noodle_house : 68324
Saved path: pet_store, gelateria, music_store, hardware_store, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop : 63564
Saved path: cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 55603
Saved path: pizzeria, dentist, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, pharmacy, gelateria, florist, pet_store, craft_shop : 63662
Saved path: cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bike_shop, pharmacy, music_store, gelateria, florist, craft_shop, gym, burger_joint, bookstore : 52893
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, dentist, pet_store, florist, gelateria, pharmacy : 59283
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, tech_shop, noodle_house, salon, gym, bike_shop, bakery, pharmacy, bank, florist : 64277
Saved path: noodle_house, clothing_store, toy_store, hardware_store, burger_joint, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 67589
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, bank, pharmacy, bakery, salon, toy_store, clothing_store, tech_shop : 59152
Saved path: hardware_store, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, jewelry_store, bike_shop, bakery : 51671
Saved path: barber_shop, bakery, party_store, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, florist, pharmacy : 55293
Saved path: music_store, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, salon, jewelry_store, bakery, pharmacy : 64479
Saved path: music_store, pharmacy, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gelateria, bank : 63215
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, gym, hardware_store, dentist : 55102
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, pet_store, bank, gelateria, florist, bookstore, hardware_store, party_store, jewelry_store, barber_shop, salon : 70146
