Saved path: pet_store, gym, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bakery, music_store : 55651
Saved path: cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, pizzeria, dentist : 55382
Saved path: noodle_house, barber_shop, party_store, bakery, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store : 64400
Saved path: craft_shop, pet_store, gelateria, music_store, party_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym : 59378
Saved path: tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, hardware_store, gym, bookstore, cafe, noodle_house, clothing_store : 56850
Saved path: pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon, clothing_store, grocery_store, bookstore, cafe, tech_shop : 62690
Saved path: gelateria, pet_store, dentist, cafe, bookstore, burger_joint, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, bank : 66510
Saved path: pharmacy, bank, gelateria, florist, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, bookstore, gym, bike_shop, jewelry_store, party_store : 65690
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery : 61899
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, hardware_store, gym, pet_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint : 58854
Saved path: burger_joint, bookstore, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, gym : 58578
Saved path: bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, hardware_store, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store : 55985
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, pet_store, bank, music_store, pharmacy, bakery : 70549
Saved path: hardware_store, bakery, pharmacy, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym : 47575
Saved path: bakery, bike_shop, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, cafe, pizzeria, pet_store, bank, gelateria : 65510
Saved path: toy_store, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist, gym, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house : 69279
Saved path: tech_shop, clothing_store, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, gym, bookstore, cafe, dentist, pizzeria : 58046
Saved path: pharmacy, music_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery : 58779
Saved path: toy_store, burger_joint, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, salon : 58973
Saved path: pizzeria, craft_shop, florist, gelateria, pet_store, gym, hardware_store, bakery, jewelry_store, salon, noodle_house, grocery_store, bookstore, cafe, dentist : 59673
Saved path: clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, burger_joint, bookstore, toy_store, noodle_house : 49276
Saved path: pizzeria, dentist, tech_shop, noodle_house, bookstore, burger_joint, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store : 66382
Saved path: bank, music_store, bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store : 69211
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, bakery, gelateria, music_store, florist, pet_store, craft_shop, gym, toy_store, salon : 46551
Saved path: dentist, cafe, bookstore, hardware_store, pharmacy, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria : 70915
Saved path: pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, gym, bakery, pharmacy, music_store, bank, pet_store : 57106
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store : 50845
Saved path: barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, pet_store, florist, bank, pharmacy, jewelry_store : 73124
Saved path: tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, barber_shop, salon, noodle_house, burger_joint, cafe, grocery_store : 65417
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, bike_shop, gym, burger_joint, toy_store, noodle_house, clothing_store, cafe : 53917
Saved path: music_store, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy : 55363
Saved path: cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, florist, craft_shop, pizzeria, dentist : 64852
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, pizzeria, bank, gelateria, pharmacy : 67904
Saved path: pet_store, gelateria, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store, hardware_store, cafe, tech_shop, dentist, pizzeria, craft_shop : 65250
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, pizzeria, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop : 68152
Saved path: craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint, gym, pizzeria : 57269
Saved path: party_store, bakery, gym, burger_joint, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy : 61879
Saved path: gym, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, hardware_store : 58726
Saved path: dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, gelateria, bank, craft_shop, gym, burger_joint, cafe : 68376
Saved path: pet_store, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, pizzeria : 57433
Saved path: pharmacy, bank, gelateria, florist, gym, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, party_store : 66465
