Saved path: burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, bakery, party_store, gym, hardware_store, salon, noodle_house : 61859
Saved path: party_store, bakery, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, music_store, pharmacy : 58524
Saved path: jewelry_store, party_store, pharmacy, bank, florist, pet_store, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bike_shop : 68842
Saved path: bank, music_store, bakery, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria : 55171
Saved path: gelateria, bank, music_store, florist, bookstore, cafe, tech_shop, clothing_store, toy_store, hardware_store, salon, barber_shop, bakery, jewelry_store, bike_shop : 63551
Saved path: bakery, gelateria, bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, noodle_house, barber_shop, bike_shop, jewelry_store : 66408
Saved path: cafe, bookstore, burger_joint, hardware_store, noodle_house, salon, barber_shop, bakery, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, dentist : 52887
Saved path: burger_joint, dentist, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, gym : 70413
Saved path: party_store, bakery, barber_shop, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, bank, gelateria, florist, gym, bike_shop, jewelry_store : 65847
Saved path: dentist, pizzeria, gym, florist, gelateria, pharmacy, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 55035
Saved path: dentist, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store : 57677
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, gym : 63584
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, salon, barber_shop, bakery, party_store, gym, florist, music_store, bank, pet_store : 67888
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist, pet_store, hardware_store, bookstore, cafe : 63137
Saved path: grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bike_shop, jewelry_store, party_store, bank, music_store, craft_shop, pizzeria, tech_shop, bookstore : 70121
Saved path: pharmacy, music_store, bank, gelateria, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store : 61939
Saved path: dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, florist : 59903
Saved path: hardware_store, salon, toy_store, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, music_store, gelateria, bakery, party_store, bike_shop : 56623
Saved path: bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, tech_shop, dentist, cafe : 59765
Saved path: bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store : 59032
Saved path: pizzeria, tech_shop, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, party_store, bike_shop, music_store, bank, florist : 63988
Saved path: craft_shop, hardware_store, burger_joint, cafe, tech_shop, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist : 62880
Saved path: bookstore, cafe, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, florist, pet_store, craft_shop, gym, hardware_store : 56947
Saved path: bike_shop, barber_shop, toy_store, clothing_store, tech_shop, dentist, cafe, bookstore, hardware_store, gelateria, bank, music_store, bakery, party_store, jewelry_store : 68035
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, music_store, florist, craft_shop : 59682
Saved path: jewelry_store, barber_shop, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy : 73317
Saved path: bakery, music_store, gelateria, florist, pet_store, pizzeria, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, salon, hardware_store, jewelry_store : 60313
Saved path: gym, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, pet_store, pizzeria, tech_shop, burger_joint, hardware_store : 64873
Saved path: gelateria, bank, music_store, florist, pizzeria, dentist, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, bakery : 58331
Saved path: noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, florist, music_store, gelateria, pharmacy, jewelry_store, party_store, hardware_store, toy_store, salon : 57884
