Saved path: salon, toy_store, gym, bakery, party_store, jewelry_store, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house : 64852
Saved path: craft_shop, pet_store, bank, pharmacy, hardware_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria : 65592
Saved path: hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon : 47051
Saved path: bike_shop, bakery, pharmacy, bank, florist, gym, hardware_store, burger_joint, bookstore, dentist, pizzeria, clothing_store, toy_store, barber_shop, jewelry_store : 70787
Saved path: bike_shop, barber_shop, salon, noodle_house, toy_store, burger_joint, grocery_store, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, bakery, party_store : 59581
Saved path: pharmacy, bakery, party_store, barber_shop, noodle_house, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store : 56572
Saved path: jewelry_store, hardware_store, salon, clothing_store, grocery_store, dentist, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 66440
Saved path: pharmacy, party_store, bakery, barber_shop, salon, noodle_house, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank : 59513
Saved path: craft_shop, pizzeria, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, pet_store : 65200
Saved path: jewelry_store, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, pizzeria, tech_shop, clothing_store, salon, hardware_store : 61925
Saved path: pet_store, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank : 63390
Saved path: pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, jewelry_store, bike_shop, bakery, gelateria, florist, craft_shop : 53991
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, clothing_store, salon, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store : 63342
Saved path: gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, gym, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop : 55023
Saved path: pizzeria, dentist, cafe, burger_joint, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, hardware_store, gelateria, bank, music_store, craft_shop : 64149
Saved path: gelateria, florist, hardware_store, party_store, bike_shop, bakery, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, pet_store : 60733
Saved path: bank, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, cafe, dentist, craft_shop, pet_store, florist : 66620
Saved path: barber_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, hardware_store : 59497
Saved path: salon, noodle_house, clothing_store, toy_store, gym, burger_joint, bookstore, dentist, pizzeria, florist, bank, pharmacy, party_store, bakery, barber_shop : 66426
Saved path: hardware_store, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, gym : 51570
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, salon : 62444
Saved path: pet_store, florist, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 62519
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, pet_store, craft_shop, gym : 59685
Saved path: toy_store, barber_shop, bakery, bike_shop, gelateria, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, noodle_house : 54236
Saved path: jewelry_store, party_store, bakery, burger_joint, bookstore, toy_store, noodle_house, grocery_store, pizzeria, pet_store, florist, gelateria, bank, music_store, pharmacy : 64769
Saved path: dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, hardware_store, gym, craft_shop : 63033
Saved path: bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy : 52434
Saved path: florist, music_store, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, pet_store : 61865
Saved path: music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, barber_shop, bakery, party_store, jewelry_store : 63297
Saved path: tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bike_shop, gelateria, music_store, florist, pet_store, gym, burger_joint, bookstore : 60402
Saved path: craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, bookstore, gym : 54467
Saved path: florist, pet_store, dentist, cafe, bookstore, burger_joint, toy_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, pharmacy : 56291
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, gym, hardware_store, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery : 58547
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank : 63533
Saved path: craft_shop, gym, hardware_store, bookstore, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store : 63044
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon : 61557
Saved path: salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store : 65764
Saved path: florist, pet_store, pizzeria, gym, hardware_store, toy_store, grocery_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria : 63375
Saved path: gym, florist, bank, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, dentist, burger_joint, hardware_store : 67943
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, bank, pet_store, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, clothing_store : 71934
Saved path: florist, music_store, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, toy_store, burger_joint, cafe, dentist, pet_store : 60422
Saved path: craft_shop, pet_store, bank, bakery, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist : 55286
Saved path: barber_shop, noodle_house, grocery_store, dentist, burger_joint, hardware_store, gym, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 64721
Saved path: jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria : 62568
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank : 65423
Saved path: bank, music_store, bike_shop, party_store, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, dentist, pizzeria, craft_shop, pet_store : 62891
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, dentist, tech_shop, burger_joint, gym, hardware_store, salon : 63415
Saved path: party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store : 66868
Saved path: music_store, gelateria, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, gym, bike_shop, party_store, pharmacy : 52881
Saved path: bank, music_store, florist, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, tech_shop, cafe, dentist, pet_store, gelateria : 69525
Saved path: gym, florist, gelateria, bank, pet_store, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, hardware_store : 62872
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, hardware_store : 59433
Saved path: craft_shop, pizzeria, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, florist : 66574
Saved path: grocery_store, cafe, bookstore, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, music_store, florist, craft_shop, pizzeria, tech_shop : 60275
Saved path: hardware_store, gym, burger_joint, bookstore, cafe, clothing_store, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, bike_shop, party_store : 62577
Saved path: pet_store, bank, gelateria, florist, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, hardware_store, gym : 61245
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, florist, gelateria, party_store, barber_shop, salon : 58530
Saved path: jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, salon, barber_shop : 57652
Saved path: pet_store, florist, bank, music_store, pharmacy, party_store, gym, burger_joint, bookstore, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 62948
Saved path: craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist : 65174
Saved path: clothing_store, grocery_store, tech_shop, bookstore, florist, gelateria, bank, music_store, bike_shop, bakery, barber_shop, salon, hardware_store, toy_store, noodle_house : 55646
Saved path: toy_store, noodle_house, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 56356
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, cafe, noodle_house, salon, barber_shop : 64641
Saved path: party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, cafe, tech_shop, toy_store, gym, hardware_store, bakery : 63758
Saved path: toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, barber_shop : 64255
Saved path: florist, craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, hardware_store, burger_joint, bookstore, pet_store, bank, gelateria : 64135
Saved path: jewelry_store, bakery, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store, barber_shop : 65916
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, music_store, florist, pet_store, dentist : 69763
Saved path: bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, cafe, burger_joint, gym, hardware_store : 55500
Saved path: bookstore, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, dentist : 54207
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, gym, hardware_store, cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store : 57479
Saved path: florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank : 68220
Saved path: party_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, bank, pharmacy : 68366
Saved path: gelateria, bank, music_store, bike_shop, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store : 65605
Saved path: gym, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, hardware_store : 64093
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, gym, florist, pet_store : 53545
Saved path: burger_joint, cafe, dentist, craft_shop, music_store, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, gym, toy_store, salon, noodle_house : 61757
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, gelateria, bank, music_store, party_store, barber_shop, salon, toy_store, noodle_house : 63286
